customer_id,order_count,hist_revenue,avg_order_value,last_order,recency_days,orders_per_30d,future_90d_revenue
CUS-000001,3,841.27,280.42333333333335,2021-03-22,1312,0.06859756097560976,154.25
CUS-000002,1,350.36,350.36,2022-06-08,869,0.03452243958573073,0.0
CUS-000003,2,697.72,348.86,2022-03-01,968,0.06198347107438017,0.0
CUS-000004,2,487.26,243.63,2021-07-06,1206,0.04975124378109452,0.0
CUS-000005,2,514.6800000000001,257.34000000000003,2022-02-16,981,0.061162079510703356,0.0
CUS-000006,3,785.03,261.6766666666667,2022-06-21,856,0.10514018691588785,0.0
CUS-000008,2,190.07999999999998,95.03999999999999,2023-06-21,491,0.12219959266802444,0.0
CUS-000009,2,166.41,83.205,2023-11-24,335,0.17910447761194032,0.0
CUS-000010,1,617.25,617.25,2021-10-25,1095,0.0273972602739726,0.0
CUS-000011,4,1282.98,320.745,2023-10-16,374,0.32085561497326204,0.0
CUS-000013,4,655.68,163.92,2021-09-26,1124,0.10676156583629892,0.0
CUS-000014,3,677.31,225.76999999999998,2022-12-24,670,0.13432835820895522,0.0
CUS-000016,1,39.7,39.7,2024-05-02,175,0.17142857142857143,0.0
CUS-000018,2,289.42,144.71,2023-05-30,513,0.11695906432748537,191.72
CUS-000019,4,980.95,245.2375,2023-10-16,374,0.32085561497326204,0.0
CUS-000020,3,637.21,212.40333333333334,2024-04-21,186,0.48387096774193544,0.0
CUS-000021,1,64.33,64.33,2023-02-05,627,0.04784688995215311,0.0
CUS-000022,2,1523.96,761.98,2021-04-25,1278,0.046948356807511735,0.0
CUS-000023,1,119.08,119.08,2020-07-27,1550,0.01935483870967742,0.0
CUS-000025,2,344.95,172.475,2023-08-11,440,0.13636363636363638,0.0
CUS-000026,1,80.29,80.29,2023-06-15,497,0.060362173038229376,0.0
CUS-000027,2,865.2,432.6,2021-01-03,1390,0.043165467625899276,0.0
CUS-000028,4,523.99,130.9975,2024-05-22,155,0.7741935483870968,0.0
CUS-000029,1,945.68,945.68,2022-12-21,673,0.04457652303120357,0.0
CUS-000030,3,616.59,205.53,2024-08-05,80,1.125,0.0
CUS-000031,4,1138.1200000000001,284.53000000000003,2023-09-11,409,0.293398533007335,0.0
CUS-000032,2,1098.22,549.11,2024-10-24,0,2.0,0.0
CUS-000033,1,238.13,238.13,2020-01-05,1754,0.01710376282782212,104.11
CUS-000034,2,186.16,93.08,2023-08-06,445,0.1348314606741573,0.0
CUS-000035,2,537.3299999999999,268.66499999999996,2022-01-07,1021,0.058765915768854066,0.0
CUS-000036,3,1854.48,618.16,2023-09-23,397,0.22670025188916879,0.0
CUS-000037,1,19.79,19.79,2024-06-02,144,0.20833333333333334,0.0
CUS-000038,6,733.0400000000001,122.17333333333335,2024-09-11,43,4.186046511627907,0.0
CUS-000039,4,693.54,173.385,2024-10-04,20,4.0,0.0
CUS-000041,1,260.88,260.88,2020-10-19,1466,0.020463847203274214,0.0
CUS-000042,1,318.43,318.43,2022-10-01,754,0.03978779840848806,52.46
CUS-000043,2,192.22,96.11,2022-03-11,958,0.06263048016701461,0.0
CUS-000044,3,491.98,163.99333333333334,2024-05-15,162,0.5555555555555555,0.0
CUS-000045,1,336.69,336.69,2022-12-22,672,0.044642857142857144,0.0
CUS-000046,2,502.45000000000005,251.22500000000002,2021-10-13,1107,0.05420054200542006,0.0
CUS-000047,5,1451.27,290.254,2024-05-03,174,0.8620689655172414,0.0
CUS-000048,1,657.5899999999999,657.5899999999999,2021-12-09,1050,0.02857142857142857,0.0
CUS-000049,1,283.41,283.41,2024-02-02,265,0.11320754716981131,0.0
CUS-000050,2,418.51,209.255,2024-10-11,13,2.0,164.36
CUS-000051,3,767.1600000000001,255.72000000000003,2024-08-23,62,1.4516129032258063,0.0
CUS-000052,4,2413.58,603.395,2024-08-15,70,1.7142857142857142,0.0
CUS-000053,2,384.9,192.45,2020-12-25,1399,0.04288777698355969,0.0
CUS-000054,4,1298.38,324.595,2022-05-16,892,0.13452914798206278,0.0
CUS-000055,2,774.13,387.065,2020-10-16,1469,0.04084411164057181,0.0
CUS-000056,5,1523.09,304.618,2024-10-03,21,5.0,660.7
CUS-000057,6,1980.4399999999998,330.0733333333333,2023-04-03,570,0.3157894736842105,0.0
CUS-000058,5,558.74,111.748,2024-10-13,11,5.0,0.0
CUS-000060,3,1017.7399999999999,339.2466666666666,2024-08-24,61,1.4754098360655739,0.0
CUS-000061,3,1707.02,569.0066666666667,2024-03-29,209,0.43062200956937796,0.0
CUS-000062,3,523.14,174.38,2022-09-24,761,0.11826544021024966,0.0
CUS-000063,3,1247.5900000000001,415.8633333333334,2022-08-08,808,0.11138613861386139,0.0
CUS-000064,3,463.62,154.54,2022-05-01,907,0.09922822491730982,0.0
CUS-000065,1,363.65,363.65,2024-08-10,75,0.4,0.0
CUS-000067,5,946.5500000000001,189.31,2024-04-18,189,0.7936507936507937,0.0
CUS-000068,4,383.21999999999997,95.80499999999999,2022-12-08,686,0.1749271137026239,0.0
CUS-000069,3,373.17,124.39,2024-05-15,162,0.5555555555555555,0.0
