campaign_id,campaign_name,campaign_type,channel,budget,exposed_customers,orders,revenue,conversion_rate,roi_proxy
CMP-0001,Weekend Campaign 1,Product Launch,Social,647048.0,587,22,4935.61,0.03577512776831346,-0.9923721114971378
CMP-0002,Summer Campaign 2,Acquisition,Social,288000.0,610,30,8330.970000000001,0.04918032786885246,-0.9710730208333335
CMP-0003,Member Campaign 3,Acquisition,Social,1161160.0,592,33,7458.45,0.05574324324324324,-0.9935767249991388
CMP-0004,Summer Campaign 4,Promotion,Paid Search,279101.0,579,23,7613.650000000001,0.037996545768566495,-0.9727208071629982
CMP-0005,Clearance Campaign 5,Promotion,SMS,773761.0,579,26,7681.209999999999,0.044905008635578586,-0.9900728907246553
CMP-0006,Winter Campaign 6,Retention,Push,783677.0,588,18,4612.39,0.030612244897959183,-0.9941144246928262
CMP-0007,Weekend Campaign 7,Acquisition,Social,1403557.0,596,23,5579.25,0.03691275167785235,-0.9960249209686532
CMP-0008,Clearance Campaign 8,Acquisition,Email,749634.0,591,24,6015.6,0.038917089678511,-0.991975283938562
CMP-0009,Summer Campaign 9,Promotion,Push,971674.0,599,26,7749.320000000001,0.04340567612687813,-0.9920247737409873
CMP-0010,Winter Campaign 10,Acquisition,SMS,1337748.0,569,17,3318.9,0.029876977152899824,-0.9975190394603468
CMP-0011,Summer Campaign 11,Promotion,Paid Search,438718.0,619,11,3304.2,0.017770597738287562,-0.9924685105238444
CMP-0012,Summer Campaign 12,Retention,Paid Search,760735.0,593,23,5822.609999999999,0.0387858347386172,-0.9923460732055184
CMP-0013,Clearance Campaign 13,Acquisition,Push,539094.0,595,13,2570.34,0.021848739495798318,-0.9952321116539973
CMP-0014,Summer Campaign 14,Retention,Email,517634.0,607,32,6173.51,0.047775947281713346,-0.9880736002658249
CMP-0015,Clearance Campaign 15,Retention,SMS,1156057.0,583,18,5827.629999999999,0.029159519725557463,-0.9949590461369985
CMP-0016,Winter Campaign 16,Retention,SMS,1451632.0,584,23,4559.66,0.03767123287671233,-0.9968589422112492
CMP-0017,Clearance Campaign 17,Promotion,Paid Search,1271178.0,581,25,5489.97,0.043029259896729774,-0.9956811949231343
CMP-0018,Weekend Campaign 18,Product Launch,Push,1238034.0,640,16,3173.1400000000003,0.0234375,-0.9974369524584947
CMP-0019,Member Campaign 19,Product Launch,Social,606892.0,581,16,4456.13,0.025817555938037865,-0.9926574579991168
CMP-0020,Member Campaign 20,Product Launch,Social,1390661.0,607,42,11562.560000000001,0.06919275123558484,-0.9916855653534542
CMP-0021,Weekend Campaign 21,Promotion,SMS,127415.0,566,18,5498.389999999999,0.03180212014134275,-0.9568466036180984
CMP-0022,Winter Campaign 22,Acquisition,SMS,856664.0,578,29,6984.39,0.04844290657439446,-0.9918469901851834
CMP-0023,Summer Campaign 23,Product Launch,Email,339284.0,539,23,5405.420000000001,0.04267161410018553,-0.9840681552917321
CMP-0024,Summer Campaign 24,Promotion,Paid Search,1252337.0,561,32,6662.61,0.053475935828877004,-0.9946798585364801
CMP-0025,Clearance Campaign 25,Acquisition,Paid Search,1396605.0,609,20,5683.580000000001,0.03284072249589491,-0.9959304312958925
CMP-0026,Member Campaign 26,Retention,SMS,62938.0,596,7,2342.4400000000005,0.01174496644295302,-0.9627817852489752
CMP-0027,Weekend Campaign 27,Promotion,SMS,827800.0,564,13,2452.77,0.02304964539007092,-0.9970370016912298
CMP-0028,Summer Campaign 28,Promotion,Social,1326966.0,582,17,5599.75,0.029209621993127148,-0.9957800350574167
