customer_id,campaign_id,event_timestamp,event_type,device_type,channel,order_date,converted
CUS-010372,CMP-0032,2020-01-04 00:32:00,Impression,Desktop,SMS,,0
CUS-001278,CMP-0032,2020-01-04 00:48:00,Open,Desktop,SMS,,0
CUS-011281,CMP-0032,2020-01-04 02:49:00,Impression,Desktop,SMS,,0
CUS-011946,CMP-0032,2020-01-04 02:58:00,Product View,Desktop,SMS,,0
CUS-001902,CMP-0032,2020-01-04 03:17:00,Impression,Mobile,SMS,,0
CUS-010226,CMP-0032,2020-01-04 03:51:00,Product View,Tablet,SMS,,0
CUS-002828,CMP-0032,2020-01-04 04:35:00,Add To Cart,Tablet,SMS,,0
CUS-010863,CMP-0032,2020-01-04 06:27:00,Impression,Desktop,SMS,,0
CUS-010404,CMP-0032,2020-01-04 08:54:00,Conversion,Desktop,SMS,,0
CUS-002649,CMP-0032,2020-01-04 10:50:00,Impression,Desktop,SMS,,0
CUS-010826,CMP-0032,2020-01-04 11:19:00,Product View,Mobile,SMS,,0
CUS-008471,CMP-0032,2020-01-04 12:30:00,Impression,Tablet,SMS,,0
CUS-010539,CMP-0032,2020-01-04 13:20:00,Open,Tablet,SMS,,0
CUS-006731,CMP-0032,2020-01-04 15:31:00,Impression,Tablet,SMS,,0
CUS-002870,CMP-0032,2020-01-04 16:36:00,Impression,Tablet,SMS,,0
CUS-006197,CMP-0032,2020-01-04 18:41:00,Add To Cart,Tablet,SMS,,0
CUS-007639,CMP-0032,2020-01-04 20:53:00,Conversion,Tablet,SMS,,0
CUS-005197,CMP-0032,2020-01-04 21:56:00,Impression,Tablet,SMS,,0
CUS-010420,CMP-0032,2020-01-04 22:44:00,Product View,Tablet,SMS,,0
CUS-001228,CMP-0032,2020-01-05 03:06:00,Product View,Tablet,SMS,,0
CUS-008560,CMP-0032,2020-01-05 03:30:00,Add To Cart,Desktop,SMS,,0
CUS-005860,CMP-0032,2020-01-05 04:01:00,Product View,Desktop,SMS,,0
CUS-011032,CMP-0032,2020-01-05 04:11:00,Open,Mobile,SMS,2020-01-11,1
CUS-000256,CMP-0032,2020-01-05 07:17:00,Impression,Mobile,SMS,,0
CUS-000323,CMP-0032,2020-01-05 07:18:00,Impression,Mobile,SMS,,0
CUS-005249,CMP-0032,2020-01-05 09:11:00,Click,Desktop,SMS,,0
CUS-011024,CMP-0032,2020-01-05 10:18:00,Product View,Mobile,SMS,,0
CUS-006535,CMP-0032,2020-01-05 10:28:00,Product View,Tablet,SMS,,0
CUS-000388,CMP-0032,2020-01-05 11:38:00,Open,Desktop,SMS,,0
CUS-007072,CMP-0032,2020-01-05 12:49:00,Impression,Mobile,SMS,,0
CUS-009209,CMP-0032,2020-01-05 16:31:00,Impression,Tablet,SMS,,0
CUS-011468,CMP-0032,2020-01-05 16:42:00,Add To Cart,Mobile,SMS,,0
CUS-004819,CMP-0032,2020-01-05 17:01:00,Open,Tablet,SMS,,0
CUS-009314,CMP-0032,2020-01-05 17:28:00,Add To Cart,Desktop,SMS,,0
CUS-003146,CMP-0032,2020-01-05 17:50:00,Product View,Tablet,SMS,,0
CUS-000598,CMP-0032,2020-01-05 18:24:00,Impression,Desktop,SMS,,0
CUS-005527,CMP-0032,2020-01-05 18:44:00,Click,Tablet,SMS,,0
CUS-011778,CMP-0032,2020-01-05 21:16:00,Impression,Mobile,SMS,,0
CUS-000100,CMP-0032,2020-01-05 22:55:00,Click,Mobile,SMS,,0
CUS-007046,CMP-0032,2020-01-05 23:16:00,Impression,Tablet,SMS,,0
CUS-007396,CMP-0032,2020-01-06 01:37:00,Open,Tablet,SMS,,0
CUS-010178,CMP-0032,2020-01-06 04:55:00,Open,Desktop,SMS,,0
CUS-005374,CMP-0032,2020-01-06 05:50:00,Product View,Mobile,SMS,,0
CUS-002953,CMP-0032,2020-01-06 06:39:00,Product View,Mobile,SMS,,0
CUS-007220,CMP-0032,2020-01-06 08:01:00,Click,Mobile,SMS,,0
CUS-002481,CMP-0032,2020-01-06 09:04:00,Add To Cart,Mobile,SMS,,0
CUS-000635,CMP-0032,2020-01-06 09:29:00,Impression,Tablet,SMS,,0
CUS-008083,CMP-0032,2020-01-06 15:59:00,Open,Mobile,SMS,,0
CUS-003546,CMP-0032,2020-01-06 21:41:00,Product View,Tablet,SMS,,0
CUS-006467,CMP-0032,2020-01-06 23:22:00,Impression,Mobile,SMS,,0
CUS-005161,CMP-0032,2020-01-06 23:54:00,Click,Desktop,SMS,,0
CUS-000131,CMP-0032,2020-01-06 23:54:00,Impression,Desktop,SMS,,0
CUS-011736,CMP-0032,2020-01-07 00:27:00,Impression,Mobile,SMS,,0
CUS-000173,CMP-0032,2020-01-07 00:39:00,Click,Mobile,SMS,,0
CUS-002459,CMP-0032,2020-01-07 00:44:00,Product View,Desktop,SMS,,0
CUS-005880,CMP-0032,2020-01-07 01:51:00,Add To Cart,Tablet,SMS,2020-01-08,1
CUS-001723,CMP-0032,2020-01-07 03:01:00,Add To Cart,Desktop,SMS,,0
CUS-011015,CMP-0032,2020-01-07 08:07:00,Add To Cart,Tablet,SMS,,0
CUS-007395,CMP-0032,2020-01-07 08:38:00,Product View,Desktop,SMS,,0
CUS-004834,CMP-0032,2020-01-07 09:25:00,Impression,Tablet,SMS,,0
CUS-006777,CMP-0032,2020-01-07 10:15:00,Product View,Tablet,SMS,,0
CUS-001315,CMP-0032,2020-01-07 17:28:00,Open,Mobile,SMS,,0
CUS-011701,CMP-0032,2020-01-07 20:10:00,Product View,Mobile,SMS,,0
CUS-011049,CMP-0032,2020-01-07 20:53:00,Product View,Tablet,SMS,,0
CUS-008781,CMP-0032,2020-01-07 21:10:00,Product View,Desktop,SMS,,0
CUS-003118,CMP-0032,2020-01-07 23:06:00,Open,Desktop,SMS,,0
CUS-005686,CMP-0032,2020-01-08 01:22:00,Product View,Tablet,SMS,,0
CUS-008243,CMP-0032,2020-01-08 01:41:00,Product View,Desktop,SMS,,0
CUS-007263,CMP-0032,2020-01-08 06:46:00,Impression,Desktop,SMS,,0
CUS-011538,CMP-0032,2020-01-08 06:54:00,Open,Desktop,SMS,,0
CUS-011814,CMP-0032,2020-01-08 07:20:00,Open,Mobile,SMS,,0
CUS-005782,CMP-0032,2020-01-08 09:01:00,Click,Desktop,SMS,,0
