order_id,customer_id,order_date,channel,store_id,fulfillment_method,order_status,payment_method,gross_order_value,discount_amount,shipping_fee,tax_amount,prior_orders,prior_revenue,prior_avg_order,days_since_prior,month,day_of_week
ORD-00023075,CUS-000001,2020-07-25,Store,STR-035,In Store,Completed,Digital Wallet,222.79,15.79,0.0,31.05,0.0,0.0,,,7,5
ORD-00023239,CUS-000001,2020-07-25,Website,,Click & Collect,Completed,Card,114.01,0.0,0.0,17.1,1.0,222.79000000000002,222.79000000000002,0.0,7,5
ORD-00040885,CUS-000001,2021-03-22,Store,STR-045,In Store,Completed,Card,504.47,11.73,0.0,73.91,2.0,336.79999999999995,168.39999999999998,240.0,3,0
ORD-00014501,CUS-000001,2024-12-19,Store,STR-013,In Store,Completed,Buy Now Pay Later,154.25,0.0,0.0,23.14,3.0,841.27,280.42333333333335,1368.0,12,3
ORD-00018218,CUS-000001,2025-12-26,Website,,Home Delivery,Completed,Cash,119.05,23.81,49.0,14.29,4.0,995.52,248.88,372.0,12,4
ORD-00044395,CUS-000002,2022-06-08,Website,,Home Delivery,Completed,Cash,350.36,15.23,69.0,50.27,0.0,0.0,,,6,2
ORD-00024990,CUS-000003,2021-02-11,Store,STR-003,In Store,Completed,Card,412.39,4.22,0.0,61.23,0.0,0.0,,,2,3
ORD-00001672,CUS-000003,2022-03-01,Website,,Home Delivery,Completed,Cash,285.33,0.0,69.0,42.8,1.0,412.39000000000004,412.39000000000004,383.0,3,1
ORD-00030970,CUS-000003,2026-04-09,Store,STR-043,In Store,Completed,Cash,289.8,28.98,0.0,39.12,2.0,697.72,348.86,1500.0,4,3
ORD-00025396,CUS-000004,2021-06-22,Store,STR-024,In Store,Completed,Buy Now Pay Later,244.1,5.65,0.0,35.77,0.0,0.0,,,6,1
ORD-00029264,CUS-000004,2021-07-06,Store,STR-019,In Store,Completed,Digital Wallet,243.16,20.25,0.0,33.44,1.0,244.1,244.1,14.0,7,1
ORD-00035607,CUS-000005,2020-09-02,Website,,Home Delivery,Completed,Cash,334.63,0.0,49.0,50.19,0.0,0.0,,,9,2
ORD-00009516,CUS-000005,2022-02-16,Website,,Home Delivery,Completed,EFT,180.05,18.01,49.0,24.31,1.0,334.63000000000005,334.63000000000005,532.0,2,2
ORD-00009409,CUS-000005,2025-10-28,Store,STR-045,In Store,Completed,Card,202.61,0.0,0.0,30.39,2.0,514.68,257.34,1350.0,10,1
ORD-00038989,CUS-000006,2021-04-24,Website,,Home Delivery,Completed,Buy Now Pay Later,288.83000000000004,0.0,49.0,43.32,0.0,0.0,,,4,5
ORD-00009141,CUS-000006,2022-05-24,Store,STR-009,In Store,Completed,Cash,31.28,0.0,0.0,4.69,1.0,288.83000000000004,288.83000000000004,395.0,5,1
ORD-00019835,CUS-000006,2022-06-21,Store,STR-005,In Store,Completed,Digital Wallet,464.92,92.98,0.0,55.79,2.0,320.11000000000007,160.05500000000004,28.0,6,1
ORD-00014889,CUS-000006,2025-11-20,Store,STR-031,In Store,Completed,Buy Now Pay Later,201.23,0.0,0.0,30.18,3.0,785.0300000000001,261.6766666666667,1248.0,11,3
ORD-00028842,CUS-000008,2020-03-27,Store,STR-002,In Store,Completed,Buy Now Pay Later,78.98,0.0,0.0,11.85,0.0,0.0,,,3,4
ORD-00041625,CUS-000008,2023-06-21,Store,STR-004,In Store,Completed,Card,111.1,0.0,0.0,16.66,1.0,78.97999999999999,78.97999999999999,1181.0,6,2
ORD-00002087,CUS-000008,2026-03-13,Store,STR-029,In Store,Completed,Digital Wallet,534.49,0.0,0.0,80.17,2.0,190.07999999999993,95.03999999999996,996.0,3,4
ORD-00011788,CUS-000009,2022-07-25,Store,STR-012,In Store,Completed,Digital Wallet,105.15,10.52,0.0,14.19,0.0,0.0,,,7,0
ORD-00024999,CUS-000009,2023-11-24,Store,STR-026,In Store,Completed,Buy Now Pay Later,61.26,0.0,0.0,9.19,1.0,105.15,105.15,487.0,11,4
ORD-00007624,CUS-000010,2021-10-25,Marketplace,,Home Delivery,Completed,EFT,617.25,0.0,0.0,92.59,0.0,0.0,,,10,0
ORD-00031704,CUS-000010,2025-04-22,Website,,Home Delivery,Completed,Cash,163.55,0.0,89.0,24.53,1.0,617.25,617.25,1275.0,4,1
ORD-00036991,CUS-000011,2020-04-01,Store,STR-044,In Store,Completed,Cash,53.74,0.0,0.0,8.06,0.0,0.0,,,4,2
ORD-00037456,CUS-000011,2021-05-21,Store,STR-047,In Store,Completed,Cash,281.22,16.56,0.0,39.7,1.0,53.74000000000001,53.74000000000001,415.0,5,4
ORD-00012645,CUS-000011,2023-03-01,Mobile,,Home Delivery,Completed,Cash,295.33,23.14,89.0,40.83,2.0,334.96,167.48,649.0,3,2
ORD-00019366,CUS-000011,2023-10-16,Store,STR-024,In Store,Completed,Buy Now Pay Later,652.69,0.0,0.0,97.9,3.0,630.29,210.09666666666666,229.0,10,0
ORD-00004944,CUS-000012,2025-12-30,Mobile,,Courier,Completed,Digital Wallet,293.64,0.0,69.0,44.05,0.0,0.0,,,12,1
