order_id,customer_id,order_date,channel,store_id,fulfillment_method,order_status,payment_method,gross_order_value,discount_amount,shipping_fee,tax_amount
ORD-00000001,CUS-006832,2025-06-28,Website,,Home Delivery,Completed,Digital Wallet,441.55,31.06,69.0,61.57
ORD-00000002,CUS-002041,2023-12-25,Website,,Home Delivery,Completed,Digital Wallet,163.9,0.0,49.0,24.58
ORD-00000003,CUS-006564,2024-05-10,Mobile,,Home Delivery,Completed,Cash,235.46,11.85,69.0,33.54
ORD-00000004,CUS-002664,2021-08-12,Store,STR-034,In Store,Completed,Buy Now Pay Later,676.07,14.54,0.0,99.23
ORD-00000005,CUS-000822,2020-09-16,Store,STR-039,In Store,Completed,Card,157.93,0.0,0.0,23.69
ORD-00000006,CUS-005345,2020-10-01,Store,STR-017,In Store,Completed,Digital Wallet,105.94,0.0,0.0,15.89
ORD-00000007,CUS-003276,2020-07-01,Marketplace,,Click & Collect,Completed,Digital Wallet,49.98,0.0,0.0,7.5
ORD-00000008,CUS-006896,2022-04-25,Store,STR-005,In Store,Cancelled,Digital Wallet,989.44,0.0,0.0,148.42
ORD-00000009,CUS-006243,2024-12-25,Website,,Home Delivery,Completed,Card,344.32,0.0,69.0,51.65
ORD-00000010,CUS-010524,2020-05-26,Website,,Click & Collect,Cancelled,Cash,438.98,5.53,0.0,65.02
ORD-00000011,CUS-006161,2022-04-23,Store,STR-036,In Store,Completed,Card,123.29,0.0,0.0,18.49
ORD-00000012,CUS-000848,2024-01-02,Store,STR-011,In Store,Completed,Cash,89.62,0.0,0.0,13.44
ORD-00000013,CUS-006262,2020-05-25,Store,STR-015,In Store,Completed,Digital Wallet,368.06000000000006,0.0,0.0,55.21
ORD-00000014,CUS-010876,2023-08-21,Website,,Courier,Completed,EFT,33.84,0.0,49.0,5.08
ORD-00000015,CUS-009955,2022-08-25,Mobile,,Home Delivery,Completed,Card,621.17,4.58,0.0,92.49
ORD-00000016,CUS-008080,2026-02-11,Store,STR-027,In Store,Completed,Cash,197.84,4.29,0.0,29.03
ORD-00000017,,2023-04-23,Marketplace,,Courier,Completed,Buy Now Pay Later,91.79,13.77,69.0,11.7
ORD-00000018,CUS-008251,2023-06-13,Mobile,,Home Delivery,Completed,Cash,244.56,73.37,69.0,25.68
ORD-00000019,CUS-000674,2025-08-31,Mobile,,Courier,Completed,Buy Now Pay Later,752.8,60.41,0.0,103.86
ORD-00000020,CUS-002697,2024-11-11,Store,STR-014,In Store,Completed,EFT,1126.3,0.0,0.0,168.94
ORD-00000021,CUS-004176,2023-08-26,Store,STR-022,In Store,Completed,Digital Wallet,23.06,0.0,0.0,3.46
ORD-00000022,CUS-001400,2024-06-04,Website,,Home Delivery,Cancelled,EFT,394.3,4.71,89.0,58.44
ORD-00000023,CUS-005286,2022-09-09,Website,,Home Delivery,Completed,Buy Now Pay Later,150.15,2.91,49.0,22.09
ORD-00000024,CUS-008027,2024-08-29,Website,,Home Delivery,Completed,Card,412.4,0.0,49.0,61.86
ORD-00000025,CUS-008197,2022-01-21,Store,STR-004,In Store,Completed,Digital Wallet,191.72,9.59,0.0,27.32
ORD-00000026,CUS-001903,2022-02-02,Store,STR-050,In Store,Completed,Card,233.42,46.68,0.0,28.01
ORD-00000027,CUS-007014,2025-07-09,Store,STR-009,In Store,Completed,Card,76.67,0.0,0.0,11.5
ORD-00000028,CUS-003450,2022-10-07,Website,,Click & Collect,Completed,Buy Now Pay Later,289.26,0.0,0.0,43.39
ORD-00000029,CUS-008926,2023-07-17,Store,STR-029,In Store,Completed,Buy Now Pay Later,578.3699999999999,0.0,0.0,86.76
ORD-00000030,CUS-004390,2020-10-18,Website,,Click & Collect,Completed,Buy Now Pay Later,99.35,0.0,0.0,14.9
ORD-00000031,CUS-005567,2022-04-16,Store,STR-012,In Store,Completed,Cash,59.1,0.0,0.0,8.86
ORD-00000032,CUS-004531,2024-05-02,Store,STR-024,In Store,Completed,Cash,425.13,63.77,0.0,54.2
ORD-00000033,CUS-002482,2023-07-14,Store,STR-045,In Store,Cancelled,Cash,665.55,10.91,0.0,98.2
ORD-00000034,CUS-009879,2022-01-06,Mobile,,Home Delivery,Completed,Digital Wallet,703.68,0.0,0.0,105.55
ORD-00000035,CUS-000174,2020-03-13,Mobile,,Home Delivery,Completed,Digital Wallet,401.15,0.0,49.0,60.17
ORD-00000036,CUS-003643,2023-08-28,Store,STR-014,In Store,Completed,Digital Wallet,128.7,0.0,0.0,19.3
ORD-00000037,,2022-04-29,Marketplace,,Click & Collect,Completed,Digital Wallet,857.22,0.0,0.0,128.58
ORD-00000038,CUS-005909,2026-02-20,Mobile,,Home Delivery,Completed,Buy Now Pay Later,174.81,8.42,89.0,24.96
ORD-00000039,CUS-006806,2020-04-16,Store,STR-012,In Store,Completed,EFT,206.85,0.0,0.0,31.03
ORD-00000040,CUS-008404,2024-07-20,Store,STR-010,In Store,Completed,Buy Now Pay Later,155.95,0.0,0.0,23.39
ORD-00000041,CUS-002009,2022-07-21,Store,STR-015,In Store,Completed,Digital Wallet,329.34,17.439999999999998,0.0,46.78
ORD-00000042,CUS-006268,2021-10-13,Mobile,,Home Delivery,Completed,Buy Now Pay Later,270.66,40.6,49.0,34.51
ORD-00000043,CUS-009908,2024-10-03,Store,STR-023,In Store,Completed,Card,165.88,0.0,0.0,24.88
