store_id,revenue,orders,customers,avg_order,store_name,city,province,region,store_format,opening_date,closing_date,floor_area_sqm,store_status,revenue_per_sqm,orders_per_sqm,performance_cluster
STR-001,105890.97,417,412,253.9351798561151,Aurelia Polokwane 1,Polokwane,Limpopo,Inland,Flagship,2011-05-06,,1991,Active,53.18481667503767,0.209442491210447,2
STR-002,84164.87,338,337,249.00849112426033,Aurelia Johannesburg 2,Johannesburg,Gauteng,Inland,Compact,2016-07-09,,2181,Active,38.590036680421825,0.15497478220999542,1
STR-003,99381.01,395,390,251.59749367088605,Aurelia Midrand 3,Midrand,Gauteng,Inland,Standard,2013-01-13,,461,Active,215.57702819956614,0.8568329718004338,3
STR-004,92015.12,359,354,256.3095264623955,Aurelia Sandton 4,Sandton,Gauteng,Inland,Flagship,2021-01-29,,1962,Active,46.898634046890926,0.18297655453618755,0
STR-005,87568.12,384,379,228.04197916666666,Aurelia Polokwane 5,Polokwane,Limpopo,Inland,Flagship,2017-09-23,,538,Active,162.76602230483272,0.7137546468401487,1
STR-006,101321.7,386,381,262.4914507772021,Aurelia Bloemfontein 6,Bloemfontein,Free State,Inland,Outlet,2017-07-14,,1084,Active,93.47020295202952,0.35608856088560886,3
STR-007,99834.27,364,358,274.26997252747253,Aurelia Johannesburg 7,Johannesburg,Gauteng,Inland,Flagship,2021-10-08,,1698,Active,58.79521201413428,0.2143698468786808,3
STR-008,92758.72,345,339,268.8658550724638,Aurelia Pretoria 8,Pretoria,Gauteng,Inland,Standard,2018-03-19,,1247,Active,74.38550120288693,0.27666399358460303,0
STR-009,94487.14,379,372,249.30643799472296,Aurelia Midrand 9,Midrand,Gauteng,Inland,Flagship,2011-05-22,,1497,Active,63.11766199064796,0.2531730126920508,0
STR-010,89209.85,357,352,249.8875350140056,Aurelia Gqeberha 10,Gqeberha,Eastern Cape,Coastal,Standard,2022-12-04,,2112,Active,42.23951231060607,0.1690340909090909,1
STR-011,104977.13,389,375,269.864087403599,Aurelia Polokwane 11,Polokwane,Limpopo,Inland,Outlet,2012-06-27,,1955,Active,53.69674168797954,0.1989769820971867,2
STR-012,93020.98,378,373,246.08724867724865,Aurelia Midrand 12,Midrand,Gauteng,Inland,Outlet,2011-01-09,,2434,Active,38.21732949876746,0.1552999178307313,0
STR-013,100050.92,365,360,274.1121095890411,Aurelia Bloemfontein 13,Bloemfontein,Free State,Inland,Compact,2020-03-17,,2001,Active,50.000459770114944,0.18240879560219891,3
STR-014,87966.4,363,355,242.33168044077132,Aurelia Johannesburg 14,Johannesburg,Gauteng,Inland,Standard,2015-06-25,2020-01-16,1479,Closed,59.47694388100067,0.24543610547667344,1
