ticket_id,customer_id,opened_at,closed_at,issue_type,channel,priority,agent_id,resolution_status,satisfaction_score
TKT-0000001,CUS-009096,2024-01-31 21:00:00,2024-02-01 03:00:00,Returns,Chat,Critical,AGT-315,Resolved,5.0
TKT-0000002,CUS-002221,2025-12-17 16:00:00,2025-12-20 05:00:00,Payment,Chat,Low,AGT-252,Resolved,
TKT-0000003,CUS-011324,2023-12-04 18:00:00,2023-12-08 16:00:00,Returns,Email,Low,AGT-092,Resolved,
TKT-0000004,CUS-002213,2024-05-02 23:00:00,2024-05-03 06:00:00,Delivery,Email,Medium,AGT-150,Resolved,
TKT-0000005,CUS-007333,2021-10-15 08:00:00,2021-10-18 20:00:00,Returns,Store,Medium,AGT-020,Resolved,
TKT-0000006,CUS-003074,2020-01-04 08:00:00,2020-01-08 11:00:00,Delivery,Store,Critical,AGT-284,Resolved,5.0
TKT-0000007,CUS-001484,2020-06-26 21:00:00,2020-06-28 00:00:00,Returns,Email,Low,AGT-040,Resolved,
TKT-0000008,CUS-000878,2020-07-25 01:00:00,2020-07-29 08:00:00,Product Quality,Phone,Critical,AGT-044,Resolved,5.0
TKT-0000009,CUS-004415,2020-05-11 01:00:00,2020-05-13 16:00:00,Returns,Store,High,AGT-069,Resolved,4.0
TKT-0000010,CUS-007754,2025-06-17 04:00:00,2025-06-18 00:00:00,Delivery,Chat,Medium,AGT-224,Resolved,4.0
TKT-0000011,CUS-004806,2022-02-28 04:00:00,2022-03-03 20:00:00,Product Quality,Social,Medium,AGT-105,Closed,
TKT-0000012,CUS-008520,2021-10-23 15:00:00,2021-10-25 06:00:00,Account,Chat,Medium,AGT-324,Resolved,3.0
TKT-0000013,CUS-007721,2020-11-18 19:00:00,2020-11-19 23:00:00,Account,Store,Medium,AGT-214,Resolved,
TKT-0000014,CUS-001189,2021-12-16 02:00:00,2021-12-18 16:00:00,Delivery,Social,Medium,AGT-053,Closed,5.0
TKT-0000015,CUS-006960,2024-12-28 14:00:00,2025-01-01 07:00:00,Product Quality,Social,Critical,AGT-025,Resolved,
TKT-0000016,CUS-003729,2023-05-02 21:00:00,,Product Quality,Email,Medium,AGT-037,Open,
TKT-0000017,CUS-004336,2023-12-23 13:00:00,2023-12-26 21:00:00,Product Quality,Chat,Low,AGT-329,Closed,4.0
TKT-0000018,CUS-005960,2025-02-10 12:00:00,,Product Quality,Phone,Medium,AGT-135,Open,
TKT-0000019,CUS-004799,2022-01-13 15:00:00,2022-01-18 14:00:00,Product Quality,Chat,Low,AGT-069,Resolved,
TKT-0000020,CUS-000777,2023-07-11 19:00:00,2023-07-15 17:00:00,Returns,Email,Medium,AGT-307,Closed,
TKT-0000021,CUS-006691,2025-10-12 19:00:00,2025-10-12 20:00:00,Delivery,Phone,Medium,AGT-250,Resolved,
TKT-0000022,CUS-006056,2021-05-22 18:00:00,2021-05-25 05:00:00,Returns,Chat,Medium,AGT-005,Resolved,4.0
TKT-0000023,CUS-007575,2024-08-01 19:00:00,2024-08-03 13:00:00,Delivery,Social,Low,AGT-289,Resolved,4.0
