payment_id,order_id,customer_id,payment_date,payment_method,payment_provider,payment_status,transaction_reference,amount,refund_amount,failed
PAY-00000001,ORD-00000001,CUS-006832,2025-06-28,Digital Wallet,WalletPay,Successful,TXN-17397934713,479.49,0.0,0
PAY-00000002,ORD-00000002,CUS-002041,2023-12-25,Digital Wallet,WalletPay,Successful,TXN-90267437752,212.9,0.0,0
PAY-00000003,ORD-00000003,CUS-006564,2024-05-10,Cash,Store POS,Successful,TXN-18291880508,292.61,0.0,0
PAY-00000004,ORD-00000004,CUS-002664,2021-08-12,Buy Now Pay Later,FlexPay,Successful,TXN-32399992560,661.53,0.0,0
PAY-00000005,ORD-00000005,CUS-000822,2020-09-16,Card,Bank Gateway,Successful,TXN-71623957412,157.93,0.0,0
PAY-00000006,ORD-00000006,CUS-005345,2020-10-01,Digital Wallet,WalletPay,Successful,TXN-59823986037,105.94,0.0,0
PAY-00000007,ORD-00000007,CUS-003276,2020-07-01,Digital Wallet,WalletPay,Successful,TXN-49861000571,49.98,0.0,0
PAY-00000008,ORD-00000008,CUS-006896,2022-04-25,Digital Wallet,WalletPay,Reversed,TXN-18405041468,989.44,989.44,1
PAY-00000009,ORD-00000009,CUS-006243,2024-12-25,Card,Bank Gateway,Successful,TXN-67394277860,413.32,0.0,0
PAY-00000010,ORD-00000010,CUS-010524,2020-05-26,Cash,Store POS,Reversed,TXN-80385432828,433.45,433.45,1
PAY-00000011,ORD-00000011,CUS-006161,2022-04-23,Card,Bank Gateway,Successful,TXN-95028359956,123.29,0.0,0
PAY-00000012,ORD-00000012,CUS-000848,2024-01-02,Cash,Store POS,Successful,TXN-77673732716,89.62,0.0,0
PAY-00000013,ORD-00000013,CUS-006262,2020-05-25,Digital Wallet,WalletPay,Successful,TXN-35051290472,368.06,0.0,0
PAY-00000014,ORD-00000014,CUS-010876,2023-08-21,EFT,Bank Transfer,Successful,TXN-12899100609,82.84,0.0,0
PAY-00000015,ORD-00000015,CUS-009955,2022-08-25,Card,Bank Gateway,Successful,TXN-80482759976,616.59,0.0,0
PAY-00000016,ORD-00000016,CUS-008080,2026-02-11,Cash,Store POS,Successful,TXN-58739913220,193.55,0.0,0
PAY-00000017,ORD-00000017,,2023-04-23,Buy Now Pay Later,FlexPay,Successful,TXN-91027447591,147.02,0.0,0
PAY-00000018,ORD-00000018,CUS-008251,2023-06-13,Cash,Store POS,Successful,TXN-32037681283,240.19,0.0,0
PAY-00000019,ORD-00000019,CUS-000674,2025-08-31,Buy Now Pay Later,FlexPay,Successful,TXN-89065012207,692.39,0.0,0
PAY-00000020,ORD-00000020,CUS-002697,2024-11-11,EFT,Bank Transfer,Successful,TXN-60174832041,1126.3,0.0,0
PAY-00000021,ORD-00000021,CUS-004176,2023-08-26,Digital Wallet,WalletPay,Successful,TXN-30587640705,23.06,0.0,0
PAY-00000022,ORD-00000022,CUS-001400,2024-06-04,EFT,Bank Transfer,Reversed,TXN-13768690598,478.59,478.59,1
PAY-00000023,ORD-00000023,CUS-005286,2022-09-09,Buy Now Pay Later,FlexPay,Successful,TXN-82521020546,196.24,0.0,0
PAY-00000024,ORD-00000024,CUS-008027,2024-08-29,Card,Bank Gateway,Successful,TXN-45499656332,461.4,0.0,0
PAY-00000025,ORD-00000025,CUS-008197,2022-01-21,Digital Wallet,WalletPay,Successful,TXN-44934992720,182.13,0.0,0
PAY-00000026,ORD-00000026,CUS-001903,2022-02-02,Card,Bank Gateway,Successful,TXN-83310706089,186.74,0.0,0
PAY-00000027,ORD-00000027,CUS-007014,2025-07-09,Card,Bank Gateway,Successful,TXN-20001003724,76.67,0.0,0
PAY-00000028,ORD-00000028,CUS-003450,2022-10-07,Buy Now Pay Later,FlexPay,Successful,TXN-73313107854,289.26,0.0,0
PAY-00000029,ORD-00000029,CUS-008926,2023-07-17,Buy Now Pay Later,FlexPay,Successful,TXN-61796848402,578.37,0.0,0
PAY-00000030,ORD-00000030,CUS-004390,2020-10-18,Buy Now Pay Later,FlexPay,Successful,TXN-27430321996,99.35,0.0,0
PAY-00000031,ORD-00000031,CUS-005567,2022-04-16,Cash,Store POS,Successful,TXN-28376521634,59.1,0.0,0
PAY-00000032,ORD-00000032,CUS-004531,2024-05-02,Cash,Store POS,Successful,TXN-66048075360,361.36,0.0,0
PAY-00000033,ORD-00000033,CUS-002482,2023-07-14,Cash,Store POS,Reversed,TXN-43619022587,654.64,654.64,1
PAY-00000034,ORD-00000034,CUS-009879,2022-01-06,Digital Wallet,WalletPay,Successful,TXN-62277696356,703.68,0.0,0
PAY-00000035,ORD-00000035,CUS-000174,2020-03-13,Digital Wallet,WalletPay,Successful,TXN-91201098299,450.15,0.0,0
PAY-00000036,ORD-00000036,CUS-003643,2023-08-28,Digital Wallet,WalletPay,Successful,TXN-98029259099,128.7,0.0,0
PAY-00000037,ORD-00000037,,2022-04-29,Digital Wallet,WalletPay,Successful,TXN-44975139547,857.22,0.0,0
PAY-00000038,ORD-00000038,CUS-005909,2026-02-20,Buy Now Pay Later,FlexPay,Successful,TXN-48518985172,255.39,0.0,0
PAY-00000039,ORD-00000039,CUS-006806,2020-04-16,EFT,Bank Transfer,Successful,TXN-10608365565,206.85,0.0,0
PAY-00000040,ORD-00000040,CUS-008404,2024-07-20,Buy Now Pay Later,FlexPay,Successful,TXN-27369778821,155.95,0.0,0
PAY-00000041,ORD-00000041,CUS-002009,2022-07-21,Digital Wallet,WalletPay,Successful,TXN-53586656246,311.9,0.0,0
PAY-00000042,ORD-00000042,CUS-006268,2021-10-13,Buy Now Pay Later,FlexPay,Successful,TXN-41508642654,279.06,0.0,0
PAY-00000043,ORD-00000043,CUS-009908,2024-10-03,Card,Bank Gateway,Successful,TXN-26519280703,165.88,0.0,0
PAY-00000044,ORD-00000044,CUS-007632,2023-06-06,Buy Now Pay Later,FlexPay,Successful,TXN-48878895567,283.79,0.0,0
PAY-00000045,ORD-00000045,CUS-006336,2020-06-30,Cash,Store POS,Successful,TXN-83788103852,909.28,0.0,0
PAY-00000046,ORD-00000046,CUS-003724,2024-01-05,Digital Wallet,WalletPay,Successful,TXN-80773355250,74.28,0.0,0
PAY-00000047,ORD-00000047,CUS-003229,2021-03-10,Card,Bank Gateway,Successful,TXN-12202167131,178.76,0.0,0
PAY-00000048,ORD-00000048,CUS-007015,2025-08-31,Cash,Store POS,Successful,TXN-97936812417,179.65,0.0,0
PAY-00000049,ORD-00000049,,2021-08-10,Card,Bank Gateway,Successful,TXN-36104398756,189.18,0.0,0
PAY-00000050,ORD-00000050,CUS-010430,2025-04-16,Buy Now Pay Later,FlexPay ,Successful,TXN-47887535770,478.96,0.0,0
PAY-00000051,ORD-00000051,CUS-007963,2022-03-12,Card,Bank Gateway,Successful,TXN-71905562260,211.61,0.0,0
PAY-00000052,ORD-00000052,CUS-006904,2022-02-06,Card,Bank Gateway,Successful,TXN-18214532319,253.19,0.0,0
PAY-00000053,ORD-00000053,CUS-003974,2020-01-05,Digital Wallet,WalletPay,Successful,TXN-84045416170,129.82,0.0,0
PAY-00000054,ORD-00000054,CUS-009919,2026-02-16,Card,Bank Gateway,Successful,TXN-37849633173,196.27,0.0,0
PAY-00000055,ORD-00000055,CUS-010990,2023-09-05,Cash,Store POS,Successful,TXN-28314355070,157.99,0.0,0
PAY-00000056,ORD-00000056,CUS-010863,2020-12-24,EFT,Bank Transfer,Reversed,TXN-59547626982,37.7,37.7,1
PAY-00000057,ORD-00000057,CUS-008667,2020-03-24,Card,Bank Gateway,Successful,TXN-61174271827,172.34,0.0,0
PAY-00000058,ORD-00000058,CUS-005632,2021-11-02,EFT,Bank Transfer,Successful,TXN-44065695333,52.59,0.0,0
PAY-00000059,ORD-00000059,CUS-005396,2023-04-14,EFT,Bank Transfer,Successful,TXN-32814478158,56.56,0.0,0
PAY-00000060,ORD-00000060,CUS-003293,2020-03-23,Buy Now Pay Later,FlexPay,Successful,TXN-31521650257,84.78,0.0,0
PAY-00000061,ORD-00000061,CUS-000691,2022-05-28,EFT,Bank Transfer,Successful,TXN-34084244724,231.37,0.0,0
PAY-00000062,ORD-00000062,CUS-011450,2022-01-27,Digital Wallet,WalletPay,Successful,TXN-75526399081,108.05,0.0,0
PAY-00000063,ORD-00000063,CUS-007072,2025-10-25,Card,Bank Gateway,Pending,TXN-25306572889,98.33,0.0,1
PAY-00000064,ORD-00000064,CUS-006289,2022-10-04,Digital Wallet,WalletPay,Successful,TXN-19706005591,173.91,0.0,0
PAY-00000065,ORD-00000065,CUS-009815,2020-09-11,Card,Bank Gateway,Successful,TXN-95505710484,274.1,0.0,0
PAY-00000066,ORD-00000066,CUS-011447,2021-08-10,Digital Wallet,WalletPay,Reversed,TXN-11179798459,161.84,161.84,1
PAY-00000067,ORD-00000067,CUS-010942,2025-07-04,Buy Now Pay Later,FlexPay,Successful,TXN-20285410086,408.24,0.0,0
PAY-00000068,ORD-00000068,CUS-008011,2020-01-31,Cash,Store POS,Successful,TXN-92795050884,427.04,0.0,0
PAY-00000069,ORD-00000069,CUS-005888,2020-11-20,Cash,Store POS,Successful,TXN-25137921063,111.73,0.0,0
PAY-00000070,ORD-00000070,CUS-002914,2020-01-26,EFT,Bank Transfer,Successful,TXN-54364076376,21.68,0.0,0
PAY-00000071,ORD-00000071,CUS-003290,2020-04-29,EFT,Bank Transfer,Successful,TXN-53184985974,187.11,0.0,0
PAY-00000072,ORD-00000072,,2026-02-26,Cash,Store POS,Successful,TXN-63494527531,190.73,0.0,0
PAY-00000073,ORD-00000073,CUS-003689,2026-08-08,Cash,Store POS,Successful,TXN-10259238278,417.24,0.0,0
PAY-00000074,ORD-00000074,CUS-005215,2024-11-23,Cash,Store POS,Successful,TXN-76348523616,260.3,0.0,0
PAY-00000075,ORD-00000075,CUS-009023,2020-08-11,EFT,Bank Transfer,Successful,TXN-91094705714,105.18,0.0,0
PAY-00000076,ORD-00000076,CUS-008812,2024-08-26,Card,Bank Gateway,Successful,TXN-10751261710,196.7,0.0,0
PAY-00000077,ORD-00000077,CUS-002369,2025-02-23,Card,Bank Gateway,Pending,TXN-58213764931,293.24,0.0,1
PAY-00000078,ORD-00000078,CUS-006139,2025-03-27,EFT,Bank Transfer,Successful,TXN-62808676562,114.82,0.0,0
PAY-00000079,ORD-00000079,CUS-011969,2024-12-23,Buy Now Pay Later,FlexPay,Successful,TXN-80251808274,91.61,0.0,0
PAY-00000080,ORD-00000080,CUS-008835,2024-08-16,Card,Bank Gateway,Successful,TXN-87979832645,170.92,0.0,0
PAY-00000081,ORD-00000081,CUS-011622,2022-12-12,Cash,Store POS,Successful,TXN-67711680457,67.68,0.0,0
