return_id,order_item_id,customer_id,return_request_date,return_received_date,return_reason,return_condition,refund_amount,refund_status,return_channel
RET-00000001,ITM-000000018,CUS-006161,2022-06-06,2022-06-19,Size/Fit,Resellable,61.65,Processed,Store
RET-00000002,ITM-000000042,CUS-008027,2024-09-03,2024-09-13,Changed Mind,Damaged,171.42,Approved,Courier
RET-00000003,ITM-000000051,CUS-004390,2020-11-15,2020-11-25,Changed Mind,Opened,99.35,Pending,Store
RET-00000004,ITM-000000081,CUS-006336,2020-07-07,2020-07-12,,Opened,322.62,Approved,Courier
RET-00000005,ITM-000000104,CUS-000691,2022-06-22,2022-06-22,Defective Product,Damaged,115.69,Approved,Courier
RET-00000006,ITM-000000105,CUS-011450,2022-02-24,2022-03-03,Changed Mind,Opened,29.52,Pending,Store
RET-00000007,ITM-000000123,CUS-003689,2026-09-04,2026-09-05,Damaged Delivery,Resellable,167.09,Approved,Store
RET-00000008,ITM-000000127,CUS-008812,2024-10-05,2024-10-16,Changed Mind,Defective,55.34,Pending,Courier
RET-00000009,ITM-000000138,CUS-010318,2025-07-01,2025-07-06,Not as Described,Opened,96.35,Pending,Courier
RET-00000010,ITM-000000139,CUS-010318,2025-08-07,2025-08-18,Size/Fit,Defective,21.92,Approved,Store
RET-00000011,ITM-000000157,,2021-11-07,2021-11-20,Wrong Item,Defective,40.83,Processed,Store
RET-00000012,ITM-000000163,CUS-001064,2025-10-02,2025-10-12,Defective Product,Damaged,87.73,Processed,Store
RET-00000013,ITM-000000185,CUS-005987,2020-12-20,2020-12-30,Defective Product,Opened,31.84,Pending,Courier
RET-00000014,ITM-000000187,CUS-007063,2024-06-19,2024-06-23,Changed Mind,Defective,87.63,Pending,Store
RET-00000015,ITM-000000205,CUS-001684,2026-03-08,2026-03-21,Not as Described,Defective,55.2,Pending,Courier
RET-00000016,ITM-000000213,CUS-008423,2021-09-23,2021-09-29,Defective Product,Defective,41.08,Processed,Courier
RET-00000017,ITM-000000222,CUS-002603,2023-08-12,2023-08-12,Changed Mind,Defective,107.43,Processed,Store
RET-00000018,ITM-000000250,CUS-010350,2022-05-17,2022-05-17,Size/Fit,Defective,76.85,Processed,Courier
RET-00000019,ITM-000000252,CUS-006402,2021-06-29,2021-06-30,Size/Fit,Opened,19.34,Pending,Courier
RET-00000020,ITM-000000255,CUS-000131,2022-04-03,2022-04-16,Changed Mind,Opened,370.69,Processed,Store
RET-00000021,ITM-000000258,CUS-004256,2023-09-22,2023-09-25,Changed Mind,Resellable,23.53,Pending,Courier
RET-00000022,ITM-000000268,CUS-000117,2026-08-18,2026-08-20,Not as Described,Resellable,36.73,Processed,Courier
RET-00000023,ITM-000000278,,2022-04-20,2022-04-29,Changed Mind,Defective,48.61,Approved,Store
RET-00000024,ITM-000000279,CUS-006172,2022-01-04,2022-01-09,Defective Product,Resellable,41.26,Processed,Store
RET-00000025,ITM-000000280,CUS-010538,2025-04-05,2025-04-18,Changed Mind,Resellable,8.64,Pending,Store
RET-00000026,ITM-000000281,CUS-010538,2025-04-05,2025-04-13,Defective Product,Opened,72.05,Processed,Courier
RET-00000027,ITM-000000303,CUS-008635,2021-10-30,2021-11-02,Size/Fit,Opened,37.97,Pending,Courier
RET-00000028,ITM-000000308,CUS-007393,2023-12-16,2023-12-24,Size/Fit,Damaged,363.64,Pending,Courier
RET-00000029,ITM-000000344,CUS-005687,2025-01-04,2025-01-05,Changed Mind,Damaged,48.51,Approved,Courier
RET-00000030,ITM-000000352,CUS-010885,2024-12-20,2024-12-28,Changed Mind,Damaged,74.47,Approved,Store
RET-00000031,ITM-000000412,CUS-003473,2022-09-03,2022-09-08,Changed Mind,Resellable,48.61,Processed,Courier
RET-00000032,ITM-000000417,CUS-008122,2020-04-14,2020-04-21,Changed Mind,Resellable,38.36,Approved,Store
RET-00000033,ITM-000000423,CUS-009993,2023-10-19,2023-10-27,Changed Mind,Opened,89.39,Approved,Store
RET-00000034,ITM-000000455,CUS-006685,2023-08-05,2023-08-10,Changed Mind,Defective,11.12,Approved,Courier
RET-00000035,ITM-000000460,CUS-000933,2024-05-05,2024-05-12,Defective Product,Resellable,118.73,Pending,Store
RET-00000036,ITM-000000472,CUS-009819,2020-04-12,2020-04-15,,Defective,44.73,Processed,Courier
RET-00000037,ITM-000000478,CUS-011749,2022-06-26,2022-06-27,Changed Mind,Defective,126.95,Processed,Store
RET-00000038,ITM-000000484,CUS-007396,2023-01-08,2023-01-08,Defective Product,Opened,43.95,Pending,Courier
RET-00000039,ITM-000000508,CUS-009364,2024-07-25,2024-08-05,Defective Product,Defective,87.62,Approved,Courier
RET-00000040,ITM-000000535,CUS-001443,2020-03-23,2020-03-25,Not as Described,Damaged,65.53,Processed,Store
RET-00000041,ITM-000000547,CUS-003082,2024-12-21,2024-12-21,Changed Mind,Defective,223.06,Processed,Courier
RET-00000042,ITM-000000576,CUS-004903,2025-08-12,2025-08-13,Damaged Delivery,Resellable,340.53,Approved,Courier
RET-00000043,ITM-000000598,CUS-009874,2021-05-31,2021-06-01,Changed Mind,Damaged,38.42,Processed,Courier
RET-00000044,ITM-000000600,CUS-009874,2021-06-02,2021-06-03,Changed Mind,Defective,54.3,Approved,Store
RET-00000045,ITM-000000601,CUS-009874,2021-05-05,2021-05-07,Wrong Item,Opened,29.39,Processed,Courier
RET-00000046,ITM-000000612,CUS-003765,2025-03-05,2025-03-13,Damaged Delivery,Damaged,15.9,Pending,Courier
RET-00000047,ITM-000000625,CUS-008737,2024-06-24,2024-06-27,Changed Mind,Damaged,82.67,Processed,Store
RET-00000048,ITM-000000648,,2025-01-08,2025-01-16,Size/Fit,Defective,27.4,Approved,Store
RET-00000049,ITM-000000651,CUS-004808,2026-01-14,2026-01-15,Changed Mind,Opened,113.2,Pending,Courier
RET-00000050,ITM-000000656,CUS-011952,2025-07-15,2025-07-23,Changed Mind,Damaged,39.72,Approved,Store
RET-00000051,ITM-000000659,CUS-011263,2025-12-10,2025-12-10,Size/Fit,Resellable,30.59,Approved,Store
RET-00000052,ITM-000000665,CUS-004127,2023-10-30,2023-11-05,Size/Fit,Resellable,127.12,Approved,Store
RET-00000053,ITM-000000674,CUS-006680,2021-06-26,2021-07-06,Changed Mind,Damaged,45.96,Approved,Store
RET-00000054,ITM-000000680,CUS-011041,2020-06-02,2020-06-13,Changed Mind,Resellable,74.7,Approved,Store
RET-00000055,ITM-000000699,CUS-008075,2021-07-03,2021-07-12,,Resellable,18.98,Approved,Store
RET-00000056,ITM-000000702,CUS-000592,2025-03-26,2025-03-31,Not as Described,Resellable,21.79,Approved,Courier
RET-00000057,ITM-000000716,CUS-006415,2021-02-22,2021-02-27,,Damaged,46.04,Pending,Store
RET-00000058,ITM-000000722,CUS-001221,2022-06-09,2022-06-11,Changed Mind,Resellable,22.77,Processed,Store
RET-00000059,ITM-000000730,CUS-001409,2022-07-01,2022-07-07,Changed Mind,Damaged,39.78,Approved,Courier
RET-00000060,ITM-000000733,CUS-003606,2022-07-20,2022-07-21,Wrong Item,Opened,99.35,Approved,Courier
RET-00000061,ITM-000000766,CUS-008106,2024-03-03,2024-03-10,Size/Fit,Resellable,39.7,Pending,Store
RET-00000062,ITM-000000767,CUS-002089,2026-06-26,2026-07-05,Not as Described,Damaged,220.31,Pending,Store
RET-00000063,ITM-000000772,CUS-003585,2022-02-24,2022-03-08,Changed Mind,Resellable,14.09,Approved,Store
RET-00000064,ITM-000000782,CUS-001495,2021-12-27,2021-12-31,Not as Described,Damaged,125.59,Pending,Courier
RET-00000065,ITM-000000783,CUS-001665,2026-05-30,2026-06-01,Defective Product,Defective,15.62,Approved,Store
RET-00000066,ITM-000000795,CUS-010073,2023-04-30,2023-05-13,Defective Product,Damaged,37.23,Pending,Courier
RET-00000067,ITM-000000801,CUS-007777,2023-04-14,2023-04-15,Changed Mind,Defective,175.17,Processed,Courier
RET-00000068,ITM-000000804,CUS-004299,2024-07-31,2024-08-11,Not as Described,Defective,282.85,Approved,Store
RET-00000069,ITM-000000807,CUS-005897,2024-07-18,2024-07-20,Not as Described,Damaged,54.8,Processed,Courier
RET-00000070,ITM-000000810,CUS-002148,2025-05-28,2025-06-04,Defective Product,Defective,109.6,Approved,Courier
RET-00000071,ITM-000000811,CUS-002148,2025-07-05,2025-07-18,Changed Mind,Resellable,124.78,Pending,Store
RET-00000072,ITM-000000823,CUS-007298,2025-07-15,2025-07-23,Defective Product,Resellable,39.98,Pending,Courier
RET-00000073,ITM-000000831,CUS-004681,2023-05-12,2023-05-21,Defective Product,Defective,52.83,Processed,Store
RET-00000074,ITM-000000842,CUS-007779,2020-07-08,2020-07-09,Changed Mind,Defective,64.27,Processed,Store
RET-00000075,ITM-000000848,CUS-008830,2025-09-15,2025-09-27,Damaged Delivery,Defective,77.57,Pending,Courier
RET-00000076,ITM-000000852,CUS-000295,2025-06-15,2025-06-22,Not as Described,Defective,38.42,Processed,Courier
RET-00000077,ITM-000000862,CUS-000849,2021-10-24,2021-10-25,,Defective,44.81,Approved,Store
RET-00000078,ITM-000000880,CUS-001917,2021-11-21,2021-11-29,Changed Mind,Resellable,227.5,Approved,Store
RET-00000079,ITM-000000901,CUS-007159,2025-06-09,2025-06-09,Size/Fit,Resellable,127.12,Approved,Courier
RET-00000080,ITM-000000908,CUS-003719,2020-08-16,2020-08-20,,Opened,170.66,Approved,Courier
RET-00000081,ITM-000000915,CUS-003828,2021-05-15,2021-05-23,,Defective,108.32,Approved,Courier
RET-00000082,ITM-000000947,CUS-009571,2025-06-04,2025-06-08,Damaged Delivery,Defective,26.04,Processed,Store
RET-00000083,ITM-000000989,CUS-007094,2025-06-13,2025-06-13,Not as Described,Resellable,36.37,Pending,Courier
RET-00000084,ITM-000001007,CUS-007168,2022-05-16,2022-05-23,Changed Mind,Resellable,242.98,Pending,Courier
RET-00000085,ITM-000001012,CUS-001010,2021-10-28,2021-11-09,Other,Defective,76.14,Approved,Courier
RET-00000086,ITM-000001022,CUS-001372,2020-04-21,2020-04-30,Changed Mind,Opened,42.39,Processed,Store
RET-00000087,ITM-000001035,CUS-000369,2022-11-02,2022-11-03,Not as Described,Damaged,51.14,Processed,Store
RET-00000088,ITM-000001054,CUS-011830,2022-03-16,2022-03-28,Defective Product,Opened,10.58,Approved,Store
RET-00000089,ITM-000001059,CUS-004002,2025-05-02,2025-05-02,Defective Product,Opened,371.3,Processed,Courier
RET-00000090,ITM-000001069,CUS-002047,2020-07-15,2020-07-25,Not as Described,Defective,76.85,Processed,Courier
RET-00000091,ITM-000001086,CUS-001961,2024-10-25,2024-10-28,Size/Fit,Defective,11.29,Processed,Courier
RET-00000092,ITM-000001108,,2022-11-06,2022-11-16,Size/Fit,Defective,75.36,Approved,Store
RET-00000093,ITM-000001115,CUS-002620,2025-01-02,2025-01-03,,Defective,181.47,Pending,Store
RET-00000094,ITM-000001116,CUS-002620,2025-01-21,2025-01-26,Changed Mind,Opened,191.66,Approved,Store
RET-00000095,ITM-000001126,CUS-006129,2025-10-26,2025-10-28,Damaged Delivery,Damaged,479.9,Approved,Courier
RET-00000096,ITM-000001148,CUS-006394,2023-01-18,2023-01-25,Not as Described,Resellable,90.38,Approved,Store
RET-00000097,ITM-000001150,CUS-008682,2026-02-26,2026-03-03,Changed Mind,Opened,155.14,Processed,Store
RET-00000098,ITM-000001173,,2021-10-13,2021-10-23,Not as Described,Resellable,64.55,Processed,Courier
RET-00000099,ITM-000001178,CUS-001723,2022-04-12,2022-04-16,Damaged Delivery,Defective,21.61,Approved,Courier
