event_id,customer_id,campaign_id,event_timestamp,event_type,device_type,channel,session_id
EVT-00000001,CUS-002490,CMP-0014,2025-09-01 19:06:00,Add To Cart,Tablet,Email,SES-627680706
EVT-00000002,CUS-009197,CMP-0040,2023-11-10 07:36:00,Impression,Desktop,Email,SES-290709858
EVT-00000003,CUS-008125,CMP-0009,2022-02-12 09:12:00,Impression,Desktop,Push,SES-349101587
EVT-00000004,CUS-005282,CMP-0013,2026-02-04 11:46:00,Product View,Tablet,Push,SES-566163779
EVT-00000005,CUS-011417,CMP-0042,2022-06-04 13:25:00,Open,Mobile,Paid Search,SES-197036241
EVT-00000006,CUS-003756,CMP-0012,2021-09-03 10:40:00,Impression,Desktop,Paid Search,SES-363497033
EVT-00000007,CUS-008130,CMP-0032,2020-01-09 14:53:00,Click,Tablet,SMS,SES-898913223
EVT-00000008,CUS-005587,CMP-0020,2024-02-19 03:17:00,Product View,Mobile,Social,SES-737166966
EVT-00000009,CUS-007465,CMP-0033,2020-12-27 06:31:00,Open,Mobile,SMS,SES-494613387
EVT-00000010,CUS-003177,CMP-0013,2026-02-01 18:05:00,Open,Desktop,Push,SES-877287506
EVT-00000011,CUS-001658,CMP-0040,2023-10-28 02:25:00,Click,Desktop,Email,SES-505770518
EVT-00000012,CUS-007466,CMP-0005,2026-07-09 21:55:00,Impression,Desktop,SMS,SES-228801407
EVT-00000013,CUS-009635,CMP-0028,2021-12-07 22:42:00,Impression,Tablet,Social,SES-847440157
EVT-00000014,CUS-002194,CMP-0040,2023-11-07 16:08:00,Add To Cart,Mobile,Email,SES-878468072
EVT-00000015,CUS-006651,CMP-0036,2023-10-18 11:12:00,Impression,Desktop,SMS,SES-811022738
EVT-00000016,CUS-000394,CMP-0045,2022-03-02 06:15:00,Product View,Desktop,Social,SES-400903471
EVT-00000017,CUS-004640,CMP-0003,2021-02-08 09:23:00,Product View,Tablet,Social,SES-232864917
EVT-00000018,CUS-009567,CMP-0038,2022-10-17 19:58:00,Impression,Mobile,Paid Search,SES-820056996
EVT-00000019,CUS-005707,CMP-0044,2025-05-28 04:05:00,Impression,Desktop,Email,SES-899795153
EVT-00000020,CUS-005405,CMP-0035,2021-03-04 11:50:00,Conversion,Mobile,Email,SES-135540700
EVT-00000021,CUS-011441,CMP-0015,2024-09-14 19:14:00,Impression,Mobile,SMS,SES-759024314
EVT-00000022,CUS-001791,CMP-0010,2021-06-01 08:31:00,Impression,Mobile,SMS,SES-584923581
EVT-00000023,CUS-002241,CMP-0018,2026-05-30 09:56:00,Impression,Mobile,Push,SES-566903333
EVT-00000024,CUS-003325,CMP-0037,2024-11-01 17:22:00,Impression,Mobile,Push,SES-985903527
EVT-00000025,CUS-011568,CMP-0004,2024-04-04 19:03:00,Impression,Desktop,Paid Search,SES-148419646
EVT-00000026,CUS-005175,CMP-0001,2022-09-17 22:35:00,Add To Cart,Desktop,Social,SES-395890188
EVT-00000027,CUS-008080,CMP-0044,2025-04-26 13:00:00,Impression,Desktop,Email,SES-138623222
EVT-00000028,CUS-005212,CMP-0014,2025-08-28 02:55:00,Impression,Desktop,Email,SES-696257248
EVT-00000029,CUS-007102,CMP-0041,2024-01-22 13:36:00,Open,Desktop,Push,SES-554446541
EVT-00000030,CUS-007117,CMP-0020,2024-01-16 09:18:00,Impression,Mobile,Social,SES-176224681
EVT-00000031,CUS-001714,CMP-0014,2025-09-04 09:08:00,Product View,Tablet,Email,SES-546262684
EVT-00000032,CUS-006751,CMP-0002,2020-04-09 07:17:00,Conversion,Mobile,Social,SES-664642404
