product_id,units,sales,gross_margin,refunds,net_margin,legacy_product_code,sku,product_name,brand,department,category,supplier_id,launch_date,discontinue_date,standard_cost,list_price,product_status,margin_rate,return_adjusted_margin_per_unit
PRD-00001,114,5516.06,2450.3900000000003,278.08000000000004,2172.3100000000004,LEG-100000,AUR-000001,Aurelia Select Fragrance Product 1,Aurelia Select,Beauty & Personal Care,Fragrance,SUP-043,2020-06-04,,26.82,50.56,Active,0.393815513246774,19.055350877192986
PRD-00002,119,101967.97,52176.47000000001,2884.2200000000003,49292.25000000001,LEG-100001,AUR-000002,Luma Kitchen Product 2,Mira,Home & Living,Kitchen,SUP-055,2020-07-17,,419.77,887.45,Active,0.48340915289379605,414.2205882352942
PRD-00003,92,1505.44,389.10999999999996,56.169999999999995,332.94,LEG-100002,AUR-000003,Nova Fitness Product 3,Nova,Sport & Lifestyle,Fitness,SUP-020,2026-04-08,,12.28,17.02,Active,0.22115793389308108,3.618913043478261
PRD-00004,136,5660.31,839.1900000000004,290.25,548.9400000000004,LEG-100003,AUR-000004,Solara Fitness Product 4,Luma,Sport & Lifestyle,Fitness,SUP-056,2022-03-06,,35.57,43.81,Active,0.09698055406859347,4.036323529411767
PRD-00005,118,9028.91,1839.8500000000004,198.35000000000002,1641.5000000000002,LEG-100004,AUR-000005,Orion Furniture Product 5,Solara,Home & Living,Furniture,SUP-006,2021-12-26,2023-09-21,60.94,79.34,Discontinued,0.18180489117734036,13.911016949152545
PRD-00006,110,5805.8099999999995,1519.9399999999998,146.5,1373.4399999999998,LEG-100005,AUR-000006,Vela Smart Product 6,Nova,Electronics & Accessories,Smart Devices,SUP-046,2021-08-08,,38.85,54.26,Active,0.23656302910360483,12.48581818181818
PRD-00007,115,8387.7,1478.7200000000003,325.86,1152.8600000000001,LEG-100006,AUR-000007,Luma Travel Product 7,Vela,Sport & Lifestyle,Travel,SUP-021,2024-05-01,,59.81,76.67,Active,0.13744649904026135,10.024869565217392
PRD-00008,104,2923.9300000000003,449.93000000000006,264.47,185.46000000000004,LEG-100007,AUR-000008,Aurelia Select Bedding Product 8,Luma,Home & Living,Bedding,SUP-043,2020-12-05,,23.82,29.55,Active,0.0634283310475969,1.783269230769231
PRD-00009,113,6508.41,3040.3999999999996,88.47,2951.93,LEG-100008,AUR-000009,Orion Haircare Product 9,Luma,Beauty & Personal Care,Haircare,SUP-014,2023-08-24,,30.72,58.98,Active,0.4535562449200342,26.123274336283185
PRD-00010,108,15101.87,3779.0900000000006,191.26,3587.830000000001,LEG-100009,AUR-000010,Mira Skincare Product 10,Vela,Beauty & Personal Care,Skincare,SUP-026,2024-02-01,,104.8,147.12,Active,0.23757521419532818,33.22064814814816
PRD-00011,125,5539.45,1225.5599999999997,0.0,1225.5599999999997,LEG-100010,AUR-000011,Orion Fragrance Product 11,Vela,Beauty & Personal Care,Fragrance,SUP-029,2023-05-21,2024-07-19,34.52,45.48,Discontinued,0.22124218108295945,9.804479999999998
PRD-00012,89,3825.36,1834.99,241.35999999999999,1593.6299999999999,LEG-100011,AUR-000012,Pulse Men's Product 12,Solara,Fashion & Accessories,Men's Clothing,SUP-036,2022-11-10,,22.32,45.54,Active,0.4165960850743459,17.905955056179774
PRD-00013,142,17144.74,8518.77,1350.74,7168.030000000001,LEG-100012,AUR-000013,Solara Footwear Product 13,Pulse,Fashion & Accessories,Footwear,SUP-069,2020-10-05,,61.07,124.78,Active,0.41808916320690775,50.47908450704226
PRD-00014,137,14665.09,6004.260000000001,320.97,5683.290000000001,LEG-100013,AUR-000014,Nova Audio Product 14,Orion,Electronics & Accessories,Audio,SUP-023,2023-05-30,,63.66,110.68,Active,0.38753870586542605,41.48386861313869
PRD-00015,92,12140.269999999999,5409.879999999999,535.5,4874.379999999999,LEG-100014,AUR-000015,Aurelia Select Sports Product 15,Nova,Sport & Lifestyle,Sports Accessories,SUP-056,2022-06-30,,73.71,135.57,Active,0.40150507361038923,52.982391304347814
PRD-00016,131,3378.4900000000002,652.3800000000001,215.05,437.33000000000004,LEG-100015,AUR-000016,Pulse Chargers Product 16,Nova,Electronics & Accessories,Chargers,SUP-050,2021-09-21,,20.95,27.05,Active,0.12944540312388078,3.338396946564886
PRD-00017,111,6932.07,1586.5100000000002,431.27,1155.2400000000002,LEG-100016,AUR-000017,Orion Outdoor Product 17,Aurelia Select,Sport & Lifestyle,Outdoor,SUP-056,2022-05-31,,48.15,63.89,Active,0.166651519675941,10.40756756756757
PRD-00018,105,20468.88,5011.17,1470.21,3540.9599999999996,LEG-100017,AUR-000018,Solara Men's Product 18,Pulse,Fashion & Accessories,Men's Clothing,SUP-009,2023-12-09,,146.02,207.07,Active,0.17299236694924194,33.72342857142857
PRD-00019,93,5853.8,1986.2700000000007,466.6,1519.6700000000005,LEG-100018,AUR-000019,Nova Chargers Product 19,Orion,Electronics & Accessories,Chargers,SUP-065,2022-11-06,2023-08-30,41.42,65.26,Discontinued,0.2596040179029008,16.34053763440861
PRD-00020,120,21995.95,4426.02,1000.25,3425.7700000000004,LEG-100019,AUR-000020,Solara Computer Product 20,Pulse,Electronics & Accessories,Computer Accessories,SUP-038,2020-02-13,,146.24,189.62,Active,0.15574548951056902,28.548083333333338
PRD-00021,128,11666.88,4930.159999999999,932.4,3997.7599999999993,LEG-100020,AUR-000021,Vela Outdoor Product 21,Pulse,Sport & Lifestyle,Outdoor,SUP-049,2024-06-14,,52.77,93.71,Active,0.3426588770948188,31.232499999999995
PRD-00022,117,6306.53,2858.7,234.51,2624.19,LEG-100021,AUR-000022,Pulse Kitchen Product 22,Aurelia Select,Home & Living,Kitchen,SUP-039,2020-03-01,,29.53,56.51,Active,0.4161067972403208,22.428974358974358
