order_item_id,order_id,product_id,quantity,unit_price,discount_amount,unit_cost,fulfillment_status,returned,customer_id,channel,fulfillment_method,payment_method,department,category,brand
ITM-000000001,ORD-00000001,PRD-00230,2,117.24,0.0,52.12,Fulfilled,0,CUS-006832,Website,Home Delivery,Digital Wallet,Fashion & Accessories,Footwear,Luma
ITM-000000002,ORD-00000001,PRD-00018,1,207.07,31.06,153.88,Fulfilled,0,CUS-006832,Website,Home Delivery,Digital Wallet,Fashion & Accessories,Men's Clothing,Pulse
ITM-000000003,ORD-00000002,PRD-00558,2,81.95,0.0,52.52,Fulfilled,0,CUS-002041,Website,Home Delivery,Digital Wallet,Home & Living,Kitchen,Solara
ITM-000000004,ORD-00000003,PRD-00077,1,59.26,11.85,32.76,Fulfilled,0,CUS-006564,Mobile,Home Delivery,Cash,Electronics & Accessories,Smart Devices,Orion
ITM-000000005,ORD-00000003,PRD-00321,1,176.2,0.0,108.58,Fulfilled,0,CUS-006564,Mobile,Home Delivery,Cash,Fashion & Accessories,Bags,Mira
ITM-000000006,ORD-00000004,PRD-00073,2,265.35,0.0,143.28,Fulfilled,0,CUS-002664,Store,In Store,Buy Now Pay Later,Home & Living,Kitchen,Orion
ITM-000000007,ORD-00000004,PRD-00776,1,145.37,14.54,97.7,Fulfilled,0,CUS-002664,Store,In Store,Buy Now Pay Later,Home & Living,Furniture,Vela
ITM-000000008,ORD-00000005,PRD-00056,1,157.93,0.0,123.53,Fulfilled,0,CUS-000822,Store,In Store,Card,Beauty & Personal Care,Fragrance,Solara
ITM-000000009,ORD-00000006,PRD-00471,1,105.94,0.0,64.62,Fulfilled,0,CUS-005345,Store,In Store,Digital Wallet,Beauty & Personal Care,fragrance,Pulse
ITM-000000010,ORD-00000007,PRD-00837,1,49.98,0.0,39.43,Fulfilled,0,CUS-003276,Marketplace,Click & Collect,Digital Wallet,Electronics & Accessories,Computer Accessories,Nova
ITM-000000011,ORD-00000008,PRD-00488,2,83.92,0.0,45.26,Cancelled,0,CUS-006896,Store,In Store,Digital Wallet,Home & Living,Furniture,Solara
ITM-000000012,ORD-00000008,PRD-00272,1,821.6,0.0,364.71,Cancelled,0,CUS-006896,Store,In Store,Digital Wallet,Sport & Lifestyle,Sports Accessories,Luma
ITM-000000013,ORD-00000009,PRD-00565,2,89.22,0.0,68.36,Fulfilled,0,CUS-006243,Website,Home Delivery,Card,Home & Living,Kitchen,Nova
ITM-000000014,ORD-00000009,PRD-00285,2,82.94,0.0,48.36,Fulfilled,0,CUS-006243,Website,Home Delivery,Card,Sport & Lifestyle,Fitness,Vela
ITM-000000015,ORD-00000010,PRD-00104,2,105.66,0.0,84.27,Cancelled,0,CUS-010524,Website,Click & Collect,Cash,Home & Living,Furniture,Nova
ITM-000000016,ORD-00000010,PRD-00459,2,27.67,5.53,20.25,Cancelled,0,CUS-010524,Website,Click & Collect,Cash,Home & Living,Bedding,Vela
ITM-000000017,ORD-00000010,PRD-00320,2,86.16,0.0,41.73,Cancelled,0,CUS-010524,Website,Click & Collect,Cash,Home & Living,Furniture,Vela
ITM-000000018,ORD-00000011,PRD-00175,1,123.29,0.0,85.72,Fulfilled,1,CUS-006161,Store,In Store,Card,Fashion & Accessories,Men's Clothing,Orion
ITM-000000019,ORD-00000012,PRD-00214,1,89.62,0.0,56.21,Fulfilled,0,CUS-000848,Store,In Store,Cash,Electronics & Accessories,Audio,Orion
ITM-000000020,ORD-00000013,PRD-00781,1,30.47,0.0,24.64,Fulfilled,0,CUS-006262,Store,In Store,Digital Wallet,Electronics & Accessories,Audio,Luma
ITM-000000021,ORD-00000013,PRD-00855,3,112.53,0.0,86.19,Fulfilled,0,CUS-006262,Store,In Store,Digital Wallet,Fashion & Accessories,Bags,Vela
ITM-000000022,ORD-00000014,PRD-00638,1,33.84,0.0,24.73,Fulfilled,0,CUS-010876,Website,Courier,EFT,Home & Living,Home Décor,Nova
ITM-000000023,ORD-00000015,PRD-00836,1,91.62,4.58,50.51,Fulfilled,0,CUS-009955,Mobile,Home Delivery,Card,Beauty & Personal Care,Fragrance,Luma
ITM-000000024,ORD-00000015,PRD-00571,1,529.55,0.0,295.04,Fulfilled,0,CUS-009955,Mobile,Home Delivery,Card,Beauty & Personal Care,Cosmetics,Pulse
ITM-000000025,ORD-00000016,PRD-00440,1,112.13,0.0,54.51,Fulfilled,0,CUS-008080,Store,In Store,Cash,Home & Living,Home Décor,Pulse
ITM-000000026,ORD-00000016,PRD-00649,1,85.71,4.29,41.82,Fulfilled,0,CUS-008080,Store,In Store,Cash,Electronics & Accessories,Audio,Orion
ITM-000000027,ORD-00000017,PRD-00260,1,91.79,13.77,55.45,Fulfilled,0,,Marketplace,Courier,Buy Now Pay Later,Electronics & Accessories,Computer Accessories,Orion
ITM-000000028,ORD-00000018,PRD-00786,1,244.56,73.37,124.93,Fulfilled,0,CUS-008251,Mobile,Home Delivery,Cash,Beauty & Personal Care,Fragrance,Pulse
ITM-000000029,ORD-00000019,PRD-00585,1,417.33,20.87,241.39,Fulfilled,0,CUS-000674,Mobile,Courier,Buy Now Pay Later,Beauty & Personal Care,Fragrance,Mira
ITM-000000030,ORD-00000019,PRD-00287,3,87.86,39.54,44.77,Fulfilled,0,CUS-000674,Mobile,Courier,Buy Now Pay Later,Fashion & Accessories,Women's Clothing,Pulse
ITM-000000031,ORD-00000019,PRD-00626,1,19.33,0.0,12.79,Fulfilled,0,CUS-000674,Mobile,Courier,Buy Now Pay Later,Beauty & Personal Care,Cosmetics,Vela
ITM-000000032,ORD-00000019,PRD-00132,1,52.56,0.0,30.93,Fulfilled,0,CUS-000674,Mobile,Courier,Buy Now Pay Later,Sport & Lifestyle,Sports Accessories,Vela
ITM-000000033,ORD-00000020,PRD-00589,2,82.49,0.0,62.0,Fulfilled,0,CUS-002697,Store,In Store,EFT,Sport & Lifestyle,Travel,Vela
ITM-000000034,ORD-00000020,PRD-00627,2,39.66,0.0,27.08,Fulfilled,0,CUS-002697,Store,In Store,EFT,Home & Living,Bedding,Orion
ITM-000000035,ORD-00000020,PRD-00675,2,441.0,0.0,259.4,Fulfilled,0,CUS-002697,Store,In Store,EFT,Electronics & Accessories,Computer Accessories,Aurelia Select
ITM-000000036,ORD-00000021,PRD-00822,1,23.06,0.0,13.69,Fulfilled,0,CUS-004176,Store,In Store,Digital Wallet,Sport & Lifestyle,Sports Accessories,Orion
ITM-000000037,ORD-00000022,PRD-00829,2,113.4,0.0,64.93,Cancelled,0,CUS-001400,Website,Home Delivery,EFT,Beauty & Personal Care,Haircare,Mira
ITM-000000038,ORD-00000022,PRD-00141,2,60.22,0.0,35.92,Cancelled,0,CUS-001400,Website,Home Delivery,EFT,Electronics & Accessories,Audio,Mira
ITM-000000039,ORD-00000022,PRD-00030,1,47.06,4.71,34.87,Cancelled,0,CUS-001400,Website,Home Delivery,EFT,Home & Living,Home Décor,Aurelia Select
ITM-000000040,ORD-00000023,PRD-00592,1,91.92,0.0,43.54,Fulfilled,0,CUS-005286,Website,Home Delivery,Buy Now Pay Later,Home & Living,Home Décor,Luma
ITM-000000041,ORD-00000023,PRD-00228,1,58.23,2.91,35.92,Fulfilled,0,CUS-005286,Website,Home Delivery,Buy Now Pay Later,Fashion & Accessories,Bags,Vela
ITM-000000042,ORD-00000024,PRD-00649,2,85.71,0.0,42.94,Fulfilled,1,CUS-008027,Website,Home Delivery,Card,Electronics & Accessories,Audio,Orion
ITM-000000043,ORD-00000024,PRD-00729,1,240.98,0.0,130.72,Fulfilled,0,CUS-008027,Website,Home Delivery,Card,Electronics & Accessories,Computer Accessories,Mira
ITM-000000044,ORD-00000025,PRD-00811,1,191.72,9.59,116.36,Fulfilled,0,CUS-008197,Store,In Store,Digital Wallet,Beauty & Personal Care,Fragrance,Vela
ITM-000000045,ORD-00000026,PRD-00804,1,233.42,46.68,162.53,Fulfilled,0,CUS-001903,Store,In Store,Card,Sport & Lifestyle,Sports Accessories,Nova
ITM-000000046,ORD-00000027,PRD-00007,1,76.67,0.0,57.23,Fulfilled,0,CUS-007014,Store,In Store,Card,Sport & Lifestyle,Travel,Vela
ITM-000000047,ORD-00000028,PRD-00622,1,289.26,0.0,133.35,Fulfilled,0,CUS-003450,Website,Click & Collect,Buy Now Pay Later,Fashion & Accessories,Footwear,Solara
ITM-000000048,ORD-00000029,PRD-00108,1,42.53,0.0,31.93,Fulfilled,0,CUS-008926,Store,In Store,Buy Now Pay Later,Electronics & Accessories,Chargers,Orion
ITM-000000049,ORD-00000029,PRD-00777,1,295.03,0.0,146.93,Fulfilled,0,CUS-008926,Store,In Store,Buy Now Pay Later,Sport & Lifestyle,Travel,Nova
ITM-000000050,ORD-00000029,PRD-00038,3,80.27,0.0,60.65,Fulfilled,0,CUS-008926,Store,In Store,Buy Now Pay Later,Beauty & Personal Care,Fragrance,Pulse
ITM-000000051,ORD-00000030,PRD-00505,1,99.35,0.0,76.32,Fulfilled,1,CUS-004390,Website,Click & Collect,Buy Now Pay Later,Electronics & Accessories,Audio,Solara
ITM-000000052,ORD-00000031,PRD-00008,2,29.55,0.0,24.43,Fulfilled,0,CUS-005567,Store,In Store,Cash,Home & Living,Bedding,Luma
ITM-000000053,ORD-00000032,PRD-00694,3,141.71,63.77,68.29,Fulfilled,0,CUS-004531,Store,In Store,Cash,Fashion & Accessories,Bags,Pulse
ITM-000000054,ORD-00000033,PRD-00574,1,592.79,0.0,339.63,Cancelled,0,CUS-002482,Store,In Store,Cash,Fashion & Accessories,Women's Clothing,Luma
ITM-000000055,ORD-00000033,PRD-00325,1,72.76,10.91,53.83,Cancelled,0,CUS-002482,Store,In Store,Cash,Beauty & Personal Care,Haircare,Pulse
ITM-000000056,ORD-00000034,PRD-00236,1,156.27,0.0,76.63,Fulfilled,0,CUS-009879,Mobile,Home Delivery,Digital Wallet,Sport & Lifestyle,Fitness,Luma
ITM-000000057,ORD-00000034,PRD-00297,1,547.41,0.0,311.52,Fulfilled,0,CUS-009879,Mobile,Home Delivery,Digital Wallet,Home & Living,Furniture,Solara
ITM-000000058,ORD-00000035,PRD-00022,1,56.51,0.0,29.44,Fulfilled,0,CUS-000174,Mobile,Home Delivery,Digital Wallet,Home & Living,Kitchen,Aurelia Select
ITM-000000059,ORD-00000035,PRD-00567,2,120.3,0.0,61.29,Fulfilled,0,CUS-000174,Mobile,Home Delivery,Digital Wallet,Electronics & Accessories,Smart Devices,Solara
ITM-000000060,ORD-00000035,PRD-00031,2,52.02,0.0,25.14,Fulfilled,0,CUS-000174,Mobile,Home Delivery,Digital Wallet,Fashion & Accessories,Bags,Mira
ITM-000000061,ORD-00000036,PRD-00704,2,64.35,0.0,29.86,Fulfilled,0,CUS-003643,Store,In Store,Digital Wallet,Home & Living,Furniture,Mira
ITM-000000062,ORD-00000037,PRD-00494,2,120.74,0.0,73.07,Fulfilled,0,,Marketplace,Click & Collect,Digital Wallet,Home & Living,Bedding,Solara
ITM-000000063,ORD-00000037,PRD-00871,1,136.33,0.0,66.76,Fulfilled,0,,Marketplace,Click & Collect,Digital Wallet,Home & Living,Furniture,Mira
ITM-000000064,ORD-00000037,PRD-00357,2,130.2,0.0,80.31,Fulfilled,0,,Marketplace,Click & Collect,Digital Wallet,Fashion & Accessories,Women's Clothing,Aurelia Select
ITM-000000065,ORD-00000037,PRD-00485,1,219.01,0.0,101.57,Fulfilled,0,,Marketplace,Click & Collect,Digital Wallet,Home & Living,Home Décor,Aurelia Select
ITM-000000066,ORD-00000038,PRD-00300,1,84.16,8.42,57.93,Fulfilled,0,CUS-005909,Mobile,Home Delivery,Buy Now Pay Later,Electronics & Accessories,Computer Accessories,Luma
ITM-000000067,ORD-00000038,PRD-00483,1,90.65,0.0,46.37,Fulfilled,0,CUS-005909,Mobile,Home Delivery,Buy Now Pay Later,Home & Living,Bedding,Nova
ITM-000000068,ORD-00000039,PRD-00197,2,72.62,0.0,43.48,Fulfilled,0,CUS-006806,Store,In Store,EFT,Home & Living,Furniture,Orion
ITM-000000069,ORD-00000039,PRD-00376,1,61.61,0.0,50.87,Fulfilled,0,CUS-006806,Store,In Store,EFT,Beauty & Personal Care,Fragrance,Solara
ITM-000000070,ORD-00000040,PRD-00670,1,96.41,0.0,45.57,Fulfilled,0,CUS-008404,Store,In Store,Buy Now Pay Later,Beauty & Personal Care,Cosmetics,Luma
ITM-000000071,ORD-00000040,PRD-00097,1,59.54,0.0,38.7,Fulfilled,0,CUS-008404,Store,In Store,Buy Now Pay Later,Beauty & Personal Care,Cosmetics,Pulse
ITM-000000072,ORD-00000041,PRD-00668,1,141.29,7.06,67.06,Fulfilled,0,CUS-002009,Store,In Store,Digital Wallet,Electronics & Accessories,Computer Accessories,Pulse
ITM-000000073,ORD-00000041,PRD-00390,1,32.47,0.0,24.01,Fulfilled,0,CUS-002009,Store,In Store,Digital Wallet,Electronics & Accessories,Computer Accessories,Solara
ITM-000000074,ORD-00000041,PRD-00111,1,69.22,10.38,50.68,Fulfilled,0,CUS-002009,Store,In Store,Digital Wallet,Electronics & Accessories,Smart Devices,Pulse
ITM-000000075,ORD-00000041,PRD-00094,1,86.36,0.0,59.69,Fulfilled,0,CUS-002009,Store,In Store,Digital Wallet,Beauty & Personal Care,Cosmetics,Luma
ITM-000000076,ORD-00000042,PRD-00549,2,135.33,40.6,66.62,Fulfilled,0,CUS-006268,Mobile,Home Delivery,Buy Now Pay Later,Electronics & Accessories,Smart Devices,Solara
ITM-000000077,ORD-00000043,PRD-00285,2,82.94,0.0,46.14,Fulfilled,0,CUS-009908,Store,In Store,Card,Sport & Lifestyle,Fitness,Vela
ITM-000000078,ORD-00000044,PRD-00484,1,167.49,0.0,87.4,Fulfilled,0,CUS-007632,Mobile,Courier,Buy Now Pay Later,Electronics & Accessories,Chargers,Luma
