shipment_id,supplier_id,product_id,purchase_order_date,expected_delivery_date,actual_delivery_date,ordered_quantity,received_quantity,rejected_quantity,shipment_status
SHP-0000001,SUP-013,PRD-00144,2020-09-08,2020-09-18,2020-09-28,205,205,0,Delivered
SHP-0000002,SUP-018,PRD-00769,2020-08-18,2020-08-23,2020-08-23,365,355,10,Delivered
SHP-0000003,SUP-010,PRD-00126,2024-07-31,2024-09-27,2024-10-05,1475,1461,14,Delivered
SHP-0000004,SUP-015,PRD-00303,2021-08-21,2021-09-04,2021-09-09,1308,1308,0,Delivered
SHP-0000005,SUP-002,PRD-00700,2024-03-08,2024-04-05,2024-04-14,432,398,34,Delivered
SHP-0000006,SUP-059,PRD-00327,2024-05-14,2024-06-03,2024-06-03,195,195,0,Delivered
SHP-0000007,SUP-055,PRD-00160,2020-01-08,2020-02-16,2020-02-23,264,257,7,Delivered
SHP-0000008,SUP-061,PRD-00684,2021-06-16,2021-07-10,2021-07-10,787,787,0,Delivered
SHP-0000009,SUP-054,PRD-00237,2025-08-06,2025-08-11,2025-08-11,1038,1038,0,Delivered
SHP-0000010,SUP-029,PRD-00717,2024-09-09,2024-09-30,2024-10-06,54,54,0,Delivered
SHP-0000011,SUP-036,PRD-00071,2023-10-01,2023-11-21,2023-11-23,89,89,0,Delivered
SHP-0000012,SUP-060,PRD-00753,2024-11-10,2024-11-17,2024-11-26,435,431,4,Delivered
SHP-0000013,SUP-041,PRD-00636,2026-08-06,2026-08-22,2026-08-25,453,453,0,Delivered
SHP-0000014,SUP-013,PRD-00321,2026-07-26,2026-08-12,2026-08-24,652,652,0,Delivered
SHP-0000015,SUP-010,PRD-00512,2024-03-03,2024-04-22,2024-04-27,1278,1278,0,Delivered
SHP-0000016,SUP-066,PRD-00533,2025-03-19,2025-03-27,2025-04-03,106,73,0,Partial
SHP-0000017,SUP-032,PRD-00845,2025-08-21,2025-09-01,2025-09-08,1307,1307,0,Delivered
SHP-0000018,SUP-044,PRD-00695,2025-02-06,2025-02-19,2025-02-24,1392,1392,0,Delivered
SHP-0000019,SUP-001,PRD-00475,2020-11-19,2020-12-10,2020-12-10,1354,1354,0,Delivered
SHP-0000020,SUP-032,PRD-00372,2023-02-14,2023-03-04,2023-03-12,912,903,9,Delivered
SHP-0000021,SUP-020,PRD-00104,2025-02-04,2025-04-13,2025-04-15,989,960,29,Delivered
SHP-0000022,SUP-023,PRD-00123,2025-03-03,2025-04-17,2025-04-24,1173,1162,11,Delivered
SHP-0000023,SUP-039,PRD-00054,2021-07-06,2021-07-18,2021-07-18,561,556,5,Delivered
SHP-0000024,SUP-066,PRD-00654,2020-10-24,2020-11-24,2020-12-03,1370,1357,13,Delivered
SHP-0000025,SUP-053,PRD-00518,2023-07-20,2023-08-03,2023-08-03,310,310,0,Delivered
SHP-0000026,SUP-040,PRD-00269,2020-11-29,2020-12-18,2020-12-20,1041,717,21,Partial
SHP-0000027,SUP-053,PRD-00859,2026-05-21,2026-05-27,2026-05-27,775,768,7,Delivered
SHP-0000028,SUP-062,PRD-00772,2025-06-10,2025-07-03,2025-07-25,1331,1331,0,Delivered
SHP-0000029,SUP-049,PRD-00392,2023-06-26,2023-07-12,2023-07-21,1134,1134,0,Delivered
SHP-0000030,SUP-011,PRD-00340,2022-05-19,2022-06-09,2022-06-09,1334,1234,0,Partial
SHP-0000031,SUP-012,PRD-00168,2020-07-01,2020-07-17,2020-07-17,1274,1262,12,Delivered
SHP-0000032,SUP-007,PRD-00569,2021-07-05,2021-09-14,2021-09-28,1162,1162,0,Late
SHP-0000033,SUP-012,PRD-00594,2026-08-18,2026-09-07,2026-09-11,893,893,0,Delivered
SHP-0000034,SUP-070,PRD-00782,2021-03-23,2021-04-01,2021-04-11,927,927,0,Delivered
SHP-0000035,SUP-035,PRD-00328,2025-12-06,2025-12-16,2025-12-19,1291,1291,0,Delivered
SHP-0000036,SUP-063,PRD-00741,2020-11-16,2020-11-25,2020-11-27,1422,1380,42,Delivered
SHP-0000037,SUP-047,PRD-00407,2020-04-10,2020-05-10,2020-05-14,363,363,0,Late
SHP-0000038,SUP-048,PRD-00448,2025-09-17,2025-09-23,2025-09-30,1185,1185,0,Delivered
SHP-0000039,SUP-033,PRD-00051,2022-09-10,2022-11-07,2022-11-07,1128,1128,0,Delivered
SHP-0000040,SUP-033,PRD-00132,2021-09-17,2021-10-14,2021-10-14,485,485,0,Late
SHP-0000041,SUP-039,PRD-00302,2020-12-09,2020-12-23,2021-01-02,1360,1347,13,Delivered
SHP-0000042,SUP-064,PRD-00249,2023-09-11,2023-10-16,2023-10-19,679,679,0,Delivered
SHP-0000043,SUP-026,PRD-00010,2021-10-31,2021-11-22,2021-11-27,831,831,0,Delivered
SHP-0000044,SUP-059,PRD-00456,2024-09-22,2024-10-13,2024-10-21,1467,1467,0,Delivered
SHP-0000045,SUP-037,PRD-00771,2023-09-13,2023-10-02,2023-10-13,605,605,0,Delivered
SHP-0000046,SUP-023,PRD-00810,2021-03-03,2021-03-11,2021-03-18,1342,1342,0,Delivered
SHP-0000047,SUP-006,PRD-00005,2021-12-28,2022-01-21,2022-01-31,311,311,0,Delivered
SHP-0000048,SUP-024,PRD-00823,2022-04-24,2022-05-07,2022-05-08,930,856,74,Delivered
SHP-0000049,SUP-046,PRD-00171,2025-11-10,2025-11-29,2025-11-29,59,42,0,Partial
SHP-0000050,SUP-042,PRD-00098,2024-02-29,2024-04-12,2024-04-17,1410,1410,0,Delivered
SHP-0000051,SUP-045,PRD-00274,2025-06-07,2025-08-08,2025-08-16,1264,1264,0,Delivered
SHP-0000052,SUP-069,PRD-00139,2025-09-07,2025-10-01,2025-10-13,801,801,0,Delivered
SHP-0000053,SUP-055,PRD-00331,2024-05-04,2024-05-29,2024-05-29,1484,1276,0,Partial
SHP-0000054,SUP-005,PRD-00751,2020-04-19,2020-05-01,2020-05-13,151,151,0,Delivered
SHP-0000055,SUP-048,PRD-00145,2024-08-28,2024-09-17,2024-09-29,352,284,0,Partial
SHP-0000056,SUP-002,PRD-00820,2020-08-09,2020-10-20,2020-10-22,823,823,0,Delivered
SHP-0000057,SUP-063,PRD-00816,2024-08-10,2024-08-28,2024-08-28,860,860,0,Delivered
SHP-0000058,SUP-029,PRD-00894,2021-12-24,2021-12-29,2022-01-05,760,738,22,Delivered
SHP-0000059,SUP-030,PRD-00069,2024-08-27,2024-09-13,2024-09-19,662,662,0,Delivered
SHP-0000060,SUP-027,PRD-00784,2026-02-16,2026-03-05,2026-03-05,421,421,0,Delivered
SHP-0000061,SUP-060,PRD-00535,2025-11-13,2025-12-03,2025-12-10,874,874,0,Delivered
SHP-0000062,SUP-070,PRD-00315,2023-09-04,2023-09-16,2023-09-19,236,234,2,Delivered
SHP-0000063,SUP-060,PRD-00336,2024-07-07,2024-07-13,2024-07-13,1329,1290,39,Delivered
SHP-0000064,SUP-041,PRD-00420,2025-12-12,2025-12-26,2025-12-26,1148,1148,0,Delivered
SHP-0000065,SUP-039,PRD-00302,2023-05-25,2023-06-10,2023-06-13,960,960,0,Late
SHP-0000066,SUP-056,PRD-00094,2020-07-12,2020-09-16,2020-09-17,1395,1395,0,Delivered
SHP-0000067,SUP-058,PRD-00709,2020-05-10,2020-06-02,2020-06-20,1311,1311,0,Delivered
SHP-0000068,SUP-037,PRD-00889,2023-03-05,2023-03-22,2023-03-28,214,214,0,Delivered
SHP-0000069,SUP-051,PRD-00843,2025-09-13,2025-09-29,2025-10-01,663,663,0,Delivered
SHP-0000070,SUP-033,PRD-00047,2023-01-12,2023-01-22,2023-01-27,478,478,0,Late
SHP-0000071,SUP-014,PRD-00655,2023-01-31,2023-02-21,2023-03-04,1259,1259,0,Delivered
SHP-0000072,SUP-047,PRD-00786,2025-10-20,2025-12-09,2025-12-23,353,353,0,Delivered
SHP-0000073,SUP-044,PRD-00208,2021-10-14,2021-11-07,2021-11-07,293,293,0,Delivered
SHP-0000074,SUP-002,PRD-00073,2026-08-19,2026-10-01,2026-10-05,1279,1267,12,Delivered
SHP-0000075,SUP-067,PRD-00760,2020-08-27,2020-09-19,2020-09-19,537,449,0,Partial
SHP-0000076,SUP-063,PRD-00452,2025-03-06,2025-03-11,2025-03-11,846,846,0,Delivered
SHP-0000077,SUP-037,PRD-00089,2024-04-02,2024-04-13,2024-04-16,527,527,0,Delivered
SHP-0000078,SUP-012,PRD-00580,2022-04-09,2022-04-18,2022-04-28,1333,1333,0,Delivered
SHP-0000079,SUP-012,PRD-00470,2024-03-21,2024-04-01,2024-04-01,1012,1012,0,Delivered
SHP-0000080,SUP-041,PRD-00663,2021-12-31,2022-03-11,2022-03-17,391,391,0,Delivered
SHP-0000081,SUP-007,PRD-00491,2023-11-21,2023-12-19,2023-12-19,1061,1051,10,Delivered
SHP-0000082,SUP-068,PRD-00195,2020-07-06,2020-07-12,2020-07-15,986,986,0,Late
SHP-0000083,SUP-012,PRD-00594,2025-04-03,2025-04-15,2025-04-20,595,595,0,Delivered
SHP-0000084,SUP-066,PRD-00284,2021-11-18,2022-01-07,2022-01-10,1077,1077,0,Delivered
SHP-0000085,SUP-042,PRD-00204,2024-08-16,2024-09-14,2024-09-14,383,383,0,Delivered
SHP-0000086,SUP-031,PRD-00578,2023-05-20,2023-07-23,2023-07-26,513,513,0,Delivered
SHP-0000087,SUP-029,PRD-00685,2025-03-28,2025-04-13,2025-04-20,587,541,46,Delivered
SHP-0000088,SUP-062,PRD-00778,2022-09-09,2022-10-10,2022-10-25,161,124,0,Partial
SHP-0000089,SUP-022,PRD-00024,2022-08-21,2022-08-26,2022-08-29,419,407,12,Delivered
SHP-0000090,SUP-033,PRD-00051,2020-01-18,2020-02-28,2020-03-10,1405,1391,14,Late
SHP-0000091,SUP-014,PRD-00655,2021-08-03,2021-09-19,2021-09-19,74,74,0,Delivered
SHP-0000092,SUP-062,PRD-00077,2023-07-08,2023-07-18,2023-07-18,481,481,0,Delivered
SHP-0000093,SUP-039,PRD-00360,2023-07-12,2023-07-23,2023-07-28,397,386,11,Delivered
SHP-0000094,SUP-032,PRD-00357,2022-09-20,2022-10-24,2022-10-25,1103,1103,0,Delivered
SHP-0000095,SUP-054,PRD-00287,2020-05-20,2020-06-08,2020-06-09,1486,1472,14,Delivered
SHP-0000096,SUP-066,PRD-00245,2025-10-11,2025-10-16,2025-10-16,637,631,6,Delivered
SHP-0000097,SUP-040,PRD-00211,2025-04-23,2025-05-11,2025-05-11,785,785,0,Delivered
