review_id,customer_id,product_id,order_item_id,review_date,rating,review_title,review_text,verified_purchase
REV-0000001,CUS-002933,PRD-00556,ITM-000049566,2026-07-19,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000002,CUS-007759,PRD-00679,ITM-000010541,2020-07-05,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000003,CUS-010412,PRD-00521,ITM-000063086,2026-05-10,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000004,CUS-011141,PRD-00035,ITM-000052636,2022-03-20,1,,,True
REV-0000005,CUS-001228,PRD-00044,ITM-000030965,2021-06-30,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000006,CUS-004982,PRD-00033,ITM-000026417,2022-04-28,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000007,CUS-008562,PRD-00350,ITM-000001052,2025-01-04,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000008,CUS-001289,PRD-00684,ITM-000066137,2021-01-12,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000009,CUS-007481,PRD-00434,ITM-000038352,2022-05-05,1,Product quality was disap,Product quality was disappointing.,True
REV-0000010,CUS-008027,PRD-00765,ITM-000053047,2026-07-03,2,Product quality was disap,Product quality was disappointing.,True
REV-0000011,CUS-000137,PRD-00173,ITM-000026099,2023-11-16,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000012,CUS-011831,PRD-00424,ITM-000057117,2020-04-20,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000013,CUS-002481,PRD-00356,ITM-000027730,2023-06-06,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000014,CUS-010244,PRD-00304,ITM-000013085,2021-09-17,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000015,CUS-008872,PRD-00164,ITM-000063826,2021-05-16,3,,,True
REV-0000016,CUS-002673,PRD-00870,ITM-000040849,2026-05-24,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000017,CUS-008479,PRD-00344,ITM-000020788,2022-12-21,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000018,CUS-003658,PRD-00847,ITM-000003946,2023-09-16,4,,,True
REV-0000019,CUS-004352,PRD-00531,ITM-000062108,2021-02-09,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000020,CUS-001709,PRD-00286,ITM-000030865,2023-09-16,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000021,CUS-011247,PRD-00483,ITM-000031496,2021-05-09,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000022,CUS-007746,PRD-00463,ITM-000005612,2022-01-20,2,Product quality was disap,Product quality was disappointing.,True
REV-0000023,CUS-000230,PRD-00066,ITM-000028785,2021-02-03,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000024,CUS-007749,PRD-00866,ITM-000045114,2022-08-31,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000025,CUS-009683,PRD-00711,ITM-000057933,2021-12-02,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000026,CUS-010249,PRD-00557,ITM-000073119,2020-04-05,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000027,CUS-011630,PRD-00834,ITM-000055478,2026-06-30,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000028,CUS-011675,PRD-00681,ITM-000046407,2021-12-04,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000029,CUS-011296,PRD-00665,ITM-000076594,2021-11-11,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000030,CUS-000670,PRD-00155,ITM-000051531,2020-02-28,5,,,True
REV-0000031,CUS-005212,PRD-00687,ITM-000048016,2021-12-03,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000032,CUS-007008,PRD-00789,ITM-000025663,2024-08-13,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000033,CUS-007431,PRD-00177,ITM-000064280,2022-09-03,5,,,True
REV-0000034,CUS-006246,PRD-00543,ITM-000048303,2024-09-11,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000035,CUS-002791,PRD-00674,ITM-000043375,2024-05-02,2,Product quality was disap,Product quality was disappointing.,True
REV-0000036,CUS-011129,PRD-00030,ITM-000054170,2025-01-04,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000037,CUS-002634,PRD-00566,ITM-000017554,2026-04-27,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000038,CUS-005409,PRD-00396,ITM-000021969,2021-09-03,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000039,CUS-005065,PRD-00141,ITM-000002524,2026-09-20,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000040,CUS-010349,PRD-00128,ITM-000066011,2021-09-25,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000041,CUS-007703,PRD-00504,ITM-000014184,2026-04-11,4,,,True
REV-0000042,CUS-001107,PRD-00153,ITM-000055437,2026-06-30,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000043,CUS-007523,PRD-00276,ITM-000015978,2022-05-22,5,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000044,CUS-003756,PRD-00448,ITM-000054838,2024-11-18,4,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000045,CUS-008313,PRD-00336,ITM-000015844,2022-10-10,2,,,True
REV-0000046,CUS-000378,PRD-00076,ITM-000024160,2023-10-04,3,Good quality and exactly ,Good quality and exactly as expected.,True
REV-0000047,CUS-002866,PRD-00672,ITM-000040432,2022-06-16,4,Good quality and exactly ,Good quality and exactly as expected.,True
